,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,regioes_id
0,0.1466,0.7686,0.5615,0.9064,0.034,0.2817,0.0223,0.0415,0.0548,0.0192,0.0201,0.5688,0.0238,0.095,0.3424,0.0152,0.1088,0.1065,0.2748,0.5915,0.112,0.1088,0.4299,0.713,0.0074,0.9805,0.8814,0.1389,0.0222,0.5059,0.017,0.0482,0.1636,0.0198,0.4642,0.0281,0.0164,0.7118,0.196,0.0449,0.162,0.3665,0.3088,0.3318,0.9914,0.2287,0.3315,0.228,0.9086,0.026,0.0324,0.5958,0.1388,0.1239,0.7697,0.9927,0.8424,0.0077,0.1653,0.5865,0.846,2
1,0.005,0.9959,0.2672,0.1723,0.0151,0.0305,0.0095,0.0109,0.0259,0.009,0.0092,0.0004,0.0011,0.0066,0.3299,0.0096,0.004,0.0054,0.0079,0.0214,0.008,0.004,0.0077,0.0807,0.1392,0.6011,0.6425,0.0709,0.0032,0.2715,0.0024,0.0531,0.0306,0.3887,0.0266,0.0028,0.0032,0.0298,0.1222,0.3151,0.3623,0.7267,0.094,0.5673,0.0058,0.0738,0.0046,0.0377,0.7849,0.853,0.8951,0.5737,0.0328,0.6868,0.0008,0.0057,0.1918,0.0297,0.6707,0.001,0.9731,4
2,0.0016,0.4394,0.0075,0.5979,0.0893,0.0,0.0678,0.2088,0.1933,0.0563,0.0611,0.0514,0.0167,0.0002,0.005,0.0462,0.0005,0.4777,0.4361,0.0002,0.3962,0.0005,0.9758,0.7875,0.0,0.4252,0.6143,0.0112,0.0006,0.9048,0.0005,0.0002,0.0,0.0002,0.0001,0.0,0.0009,0.0002,0.0111,0.0287,0.0003,0.0066,0.0299,0.8269,0.0013,0.0003,0.0053,0.0931,0.0301,0.1095,0.02,0.4811,0.7809,0.7065,0.0,0.0013,0.0001,0.0001,0.2738,0.9662,0.002,5
3,0.3774,0.0438,0.5464,0.0652,0.2915,0.1886,0.3713,0.4172,0.3107,0.4033,0.3923,0.4725,0.9197,0.2722,0.1426,0.4562,0.4305,0.3811,0.155,0.1764,0.3622,0.4305,0.1487,0.0836,0.0852,0.2133,0.0704,0.3807,0.8169,0.9061,0.9612,0.6206,0.0914,0.0689,0.6878,0.4952,0.8119,0.7752,0.3673,0.6334,0.0043,0.3807,0.5812,0.7704,0.9904,0.8017,0.9657,0.3091,0.0235,0.4609,0.3721,0.7521,0.1428,0.7716,0.1042,0.9978,0.3758,0.5135,0.3083,0.7675,0.9414,7
4,0.4954,0.247,0.8208,0.1884,0.3861,0.1643,0.4835,0.4271,0.3362,0.5387,0.5195,0.1504,0.5741,0.1401,0.097,0.6644,0.5258,0.5346,0.2179,0.2371,0.8816,0.5258,0.18,0.2073,0.0452,0.0583,0.0922,0.3963,0.8443,0.9861,0.8504,0.5188,0.1094,0.4351,0.1747,0.5044,0.9731,0.1424,0.2246,0.6078,0.8746,0.1991,0.2986,0.2943,0.2686,0.141,0.3977,0.381,0.084,0.0646,0.0842,0.1372,0.5513,0.857,0.1803,0.268,0.1677,0.2274,0.2236,0.9781,0.2746,8
5,0.8416,0.202,0.1091,0.2469,0.8871,0.0729,0.8248,0.9755,0.9687,0.8005,0.8075,0.2094,0.4031,0.1364,0.1624,0.7657,0.7639,0.3265,0.6242,0.0757,0.2155,0.7639,0.5583,0.3239,0.574,0.4731,0.9641,0.7293,0.6699,0.2545,0.8779,0.3647,0.7365,0.7166,0.4278,0.6513,0.4884,0.3538,0.6696,0.3894,0.5822,0.503,0.4643,0.2931,0.9974,0.8063,0.8911,0.2171,0.3877,0.7585,0.8072,0.2665,0.2337,0.7956,0.5119,0.9893,0.3737,0.8693,0.762,0.0746,0.7109,10
6,0.2737,0.8764,0.8718,0.8185,0.6811,0.5487,0.7118,0.7302,0.6757,0.7332,0.7227,0.7249,0.971,0.2211,0.5329,0.7909,0.2887,0.8257,0.7076,0.5692,0.852,0.2887,0.7125,0.7794,0.0283,0.5434,0.5266,0.2982,0.8162,0.0947,0.5348,0.4545,0.6149,0.0825,0.4481,0.6279,0.6781,0.5712,0.3347,0.5145,0.3961,0.8149,0.5982,0.8043,0.4615,0.1636,0.8969,0.547,0.79,0.1312,0.2508,0.7739,0.4416,0.1536,0.7009,0.4199,0.6808,0.1585,0.4577,0.9405,0.5691,11
7,0.6412,0.4775,0.2303,0.8117,0.9689,0.893,0.9564,0.7482,0.7815,0.9509,0.9537,0.114,0.444,0.8962,0.7802,0.9394,0.5057,0.6799,0.8185,0.9828,0.6124,0.5057,0.7902,0.8488,0.2076,0.8546,0.9409,0.7941,0.7421,0.9053,0.4922,0.4404,0.7936,0.5257,0.7805,0.9135,0.9008,0.6328,0.85,0.6661,0.4619,0.237,0.7762,0.6319,0.5071,0.398,0.4686,0.6556,0.0194,0.0547,0.1213,0.2441,0.5381,0.9316,0.3358,0.5045,0.253,0.4026,0.6432,0.1095,0.3937,12
8,0.9182,0.2953,0.2846,0.2002,0.1346,0.9385,0.1292,0.1263,0.1281,0.1308,0.1298,0.5653,0.2025,0.6802,0.7061,0.1377,0.8744,0.1797,0.1824,0.8726,0.1794,0.8744,0.2059,0.1711,0.0372,0.1353,0.2976,0.8389,0.1697,0.4715,0.68,0.7139,0.4818,0.0447,0.1083,0.1973,0.2242,0.09,0.9642,0.6372,0.6653,0.5398,0.8218,0.9626,0.5842,0.9854,0.7942,0.05,0.854,0.5212,0.826,0.5673,0.0202,0.488,0.5475,0.6822,0.2705,0.2817,0.6119,0.573,0.1434,13
9,0.0015,0.4886,0.583,0.4061,0.5929,0.001,0.9352,0.8367,0.4889,0.8423,0.9291,0.7145,0.6605,0.1677,0.0191,0.4105,0.001,0.2488,0.5058,0.0166,0.2109,0.001,0.3313,0.6706,0.0141,0.9327,0.961,0.0007,0.3295,0.0004,0.078,0.0,0.0815,0.1087,0.6147,0.9242,0.2753,0.7485,0.0021,0.0,0.1481,0.8275,0.0929,0.4594,0.0406,0.7644,0.0155,0.0782,0.0112,0.0569,0.0291,0.3271,0.0058,0.9583,0.0012,0.056,0.0756,0.0546,0.8558,0.562,0.8401,14
10,0.0088,0.4172,0.0066,0.9706,0.7062,0.3544,0.6985,0.6733,0.2257,0.3812,0.4877,0.0154,0.0132,0.3847,0.377,0.0385,0.0086,0.0596,0.5768,0.4298,0.0052,0.0086,0.4435,0.9324,0.0177,0.3357,0.227,0.0032,0.3685,0.0005,0.2208,0.0027,0.1639,0.1597,0.7109,0.4129,0.2906,0.6477,0.005,0.0008,0.4914,0.005,0.0,0.4774,0.4002,0.7385,0.3295,0.0004,0.1385,0.3994,0.4354,0.8331,0.0001,0.0048,0.0086,0.4136,0.0766,0.1482,0.2385,0.0629,0.0454,15
11,0.6162,0.8297,0.6671,0.8096,0.2706,0.0298,0.3287,0.4022,0.2811,0.3583,0.352,0.3744,0.2868,0.0557,0.0847,0.4038,0.5524,0.9708,0.8389,0.0156,0.9789,0.5524,0.9731,0.9289,0.5901,0.6765,0.4642,0.6334,0.8128,0.6246,0.4397,0.4148,0.2091,0.1851,0.1014,0.3676,0.8831,0.0975,0.5377,0.5455,0.2612,0.2229,0.4459,0.9614,0.3689,0.4673,0.4131,0.7733,0.0229,0.0233,0.0138,0.4911,0.8915,0.8329,0.0993,0.3697,0.8864,0.8575,0.5859,0.3296,0.6864,16
12,0.8797,0.1195,0.0232,0.0127,0.1534,0.0001,0.0987,0.1607,0.255,0.0827,0.0868,0.0575,0.0137,0.0022,0.0003,0.0686,0.8914,0.0192,0.036,0.0021,0.0135,0.8914,0.0133,0.0218,0.0009,0.212,0.181,0.9821,0.004,0.0024,0.1069,0.857,0.0466,0.9232,0.0205,0.0046,0.0025,0.0291,0.7339,0.4878,0.0048,0.1735,0.3756,0.9689,0.005,0.0049,0.044,0.6597,0.0657,0.2609,0.1942,0.8345,0.7988,0.4468,0.5055,0.0034,0.3783,0.311,0.6543,0.0012,0.2144,17
13,0.7203,0.2084,0.6733,0.0547,0.0758,0.0061,0.0743,0.0795,0.0819,0.0769,0.0758,0.1897,0.078,0.0159,0.0035,0.0857,0.7269,0.0306,0.0427,0.0098,0.0444,0.7269,0.0326,0.0481,0.0003,0.2677,0.3384,0.5325,0.0019,0.0057,0.1242,0.633,0.0026,0.455,0.0164,0.0013,0.0005,0.0341,0.6899,0.3751,0.0002,0.03,0.5238,0.5524,0.0543,0.0104,0.4594,0.7266,0.0032,0.6241,0.1324,0.3868,0.8382,0.7555,0.9919,0.0051,0.6031,0.7216,0.8427,0.0455,0.216,18
