,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,regioes_id
0,1.5485,-0.0931,-0.0117,-0.0356,0.0025,-0.0116,0.0023,0.0004,0.0002,-0.0011,-0.0011,-0.0,-0.0003,0.0086,-0.015,0.0021,0.1559,0.0037,-0.0329,-0.006,0.0045,0.3117,-0.034,-0.0083,2196.3087,0.0072,-0.0078,1.4633,0.0825,30.0795,-0.0524,-0.0039,-0.0204,1282.6518,-0.0037,-0.0,-0.0233,-0.0055,0.6563,-0.0025,35.1211,0.0067,-0.0161,0.9854,1922264.0704,60705412.3461,51404.8431,-0.0048,-7.2082,-0.0132,-0.0124,0.2939,-0.0039,0.0588,-0.0003,1918543.9076,10.4323,-0.0,0.1858,-0.0001,-0.0,2
1,-0.7823,0.0131,0.1598,-0.0796,-0.046,0.0175,-0.0426,-0.0741,-0.0223,0.0208,0.0209,0.0021,0.0075,-0.0144,-0.0021,-0.0403,-0.2373,0.0745,-0.2322,0.0166,0.0724,-0.4746,-0.1768,-0.0314,-185.4245,0.0077,-0.0228,-0.6461,10.6298,-6.8109,14.5396,0.0488,-0.0071,-216.5418,-0.0099,-0.0403,6.9626,-0.0091,-0.3659,-0.0117,13.6087,0.0702,-0.303,-0.4673,615409.6465,-397660.9905,847098.5832,-0.0454,-5.5217,-0.0012,-0.0009,-0.2811,-0.0276,-0.1613,-0.0015,612053.205,16.0228,-0.0,-0.3091,-0.0024,0.0003,4
2,-0.5537,-0.1874,-0.0813,-0.0178,-0.0351,0.0149,-0.0169,-0.0256,-0.0161,0.0057,0.0066,-0.0011,-0.0005,-0.0058,0.0092,-0.0037,-0.1397,0.0004,-0.0451,0.0105,-0.004,-0.2793,-0.0181,-0.0132,-10.1393,0.0127,-0.0395,-0.7,-0.1364,-2.7989,0.2669,0.0404,-0.0342,-28.1822,-0.0066,-0.0015,-0.1127,-0.0054,-0.563,0.0172,-0.3595,0.0357,-0.2084,-0.7769,-5928.3847,-23193.5705,-2632.9289,-0.008,-1.5334,-0.0015,-0.0014,-0.3808,-0.0099,-0.0777,-0.0014,-6083.634,5.8373,0.0008,-0.4401,0.0011,0.0008,5
3,-1.2493,-0.6892,0.0986,-0.1246,-0.0353,-0.0152,-0.029,-0.0688,-0.0224,0.0136,0.0139,0.0,0.0025,0.0013,-0.0304,-0.0244,-0.1609,0.0495,-0.2004,-0.0181,0.04,-0.3218,-0.1581,-0.04,-139.8584,0.032,-0.0503,-1.0193,3.8216,25.1721,0.3976,0.0077,0.0065,-266.2896,-0.0197,-0.0224,2.0257,-0.0218,-0.8548,0.0033,-10.1984,0.0037,-0.0565,-0.7764,127998.2642,1102468.2217,9248.4787,0.0222,-10.6222,-0.0019,-0.0033,-0.6149,0.0158,-0.0867,-0.0019,123151.7404,2.9232,0.0002,-0.5813,-0.0002,0.0012,7
4,-1.8878,-2.7788,0.1635,-0.2518,-0.0568,-0.0154,-0.0383,-0.0618,-0.0269,0.0163,0.0173,-0.0004,0.0016,0.0027,-0.0241,-0.0243,-0.2344,0.0405,-0.2323,-0.0138,0.0384,-0.4689,-0.1688,-0.0772,85.18,0.0251,-0.0941,-1.9749,2.4016,11.2693,0.3194,0.0141,-0.0022,-875.3136,-0.0239,-0.0282,1.327,-0.0253,-1.5061,0.0069,-3.4432,0.0264,-0.251,-2.008,621793.5094,4154747.448,75639.3289,0.0298,-22.4686,-0.0144,-0.0146,-1.3471,0.011,-0.0517,-0.0011,618410.6928,32.8119,0.0,-1.1696,-0.0007,-0.0004,8
5,-0.9266,1.7318,-0.3301,0.0371,-0.024,0.0353,-0.0199,-0.044,-0.0149,0.0092,0.0095,-0.0,0.0016,-0.0275,0.0264,-0.0162,-0.1302,0.0087,-0.0682,0.0391,0.0028,-0.2604,-0.0412,0.0033,8.5342,0.0144,-0.0314,-1.1024,2.2527,8.7282,0.3307,0.0116,0.0402,-54.1379,-0.0191,-0.0154,0.9539,-0.0221,-0.9222,0.0059,-0.2051,0.0198,-0.1393,-0.8545,61266.6906,518722.1576,7214.8519,0.0355,-1.5763,-0.0003,-0.0008,-0.6028,0.0193,-0.0868,-0.001,58641.559,1.7446,0.0001,-0.5442,0.0001,-0.0016,10
6,-0.3469,-0.467,0.0842,-0.0393,-0.0173,0.0054,-0.0154,-0.0196,-0.0053,0.0074,0.0075,-0.0003,0.0012,-0.0061,0.0003,-0.014,-0.041,0.016,-0.0522,0.0017,0.0169,-0.082,-0.0373,-0.0142,26.035,0.0009,-0.002,-0.2328,1.1456,10.5482,0.1193,-0.0006,0.0413,9.9076,-0.0096,-0.0146,0.6114,-0.0096,-0.2251,-0.002,0.7506,0.016,-0.0652,-0.4205,35261.2326,284160.4943,4454.9188,0.0201,-1.1845,-0.0206,-0.0213,-0.5996,0.0143,-0.0008,-0.001,32028.01,3.8865,-0.0001,-0.2531,0.0002,-0.002,11
7,0.5957,0.4227,-0.069,0.0574,-0.0057,0.0552,-0.0063,-0.0119,-0.0029,0.0032,0.0032,-0.001,0.0002,-0.0332,0.0514,-0.0067,0.0621,-0.0113,0.0213,0.0538,-0.0121,0.1242,0.0282,0.0129,6.1247,-0.0017,0.0035,0.6243,0.9383,17.6224,0.2839,0.0028,0.0494,-7.4093,-0.008,-0.0082,0.3191,-0.0114,0.237,-0.0036,-1.032,0.0202,-0.08,0.2142,88219.1622,768256.2478,19877.4492,-0.0044,-1.7836,-0.0202,-0.03,-0.1108,-0.0116,0.0079,-0.0011,76117.3807,139.4994,0.0002,0.0263,0.0019,0.0028,12
8,0.1825,0.4126,-0.1292,-0.0236,-0.0348,0.0163,-0.0346,-0.0846,-0.0228,0.0173,0.0173,0.002,0.0073,-0.012,-0.0037,-0.0345,-0.0253,0.0643,-0.17,0.0111,0.0522,-0.0506,-0.1337,-0.0146,-5.7852,0.0464,-0.023,0.1274,3.0497,10.7527,0.9944,0.0226,0.0342,-25.0565,-0.0235,-0.0261,0.7632,-0.0387,-0.0601,0.0051,0.1655,0.0452,-0.0742,0.1632,26514.555,73166.3228,6687.3127,0.0582,0.208,0.0248,0.0196,0.3665,0.0316,-0.1667,-0.0004,20785.4555,-15.1117,0.0101,-0.0502,-0.0017,0.0144,13
9,-0.9992,0.6294,0.1246,0.1187,0.0124,0.0426,0.0121,0.0132,0.0023,-0.0059,-0.006,-0.0043,-0.0067,-0.0127,0.0385,0.0112,-0.2833,-0.0313,0.085,0.0235,-0.0311,-0.5666,0.0719,0.0328,10.3624,0.0013,-0.004,-1.1893,-0.9765,-15.5901,2.2081,0.0979,-0.0218,17.9699,0.0052,0.0119,-0.5446,0.0045,-0.7966,0.0296,-1.3136,0.0474,-0.3139,-0.7235,2924.8546,-56710.8458,16376.1395,-0.0499,-2.8575,-0.0207,-0.0269,-0.4013,-0.045,-0.0651,-0.0032,3651.8848,23.028,-0.0001,-0.3623,0.0064,-0.0039,14
