,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,regioes_id
0,3.1871,-0.3441,-0.0713,0.0102,0.0183,-0.0063,0.0161,0.0222,0.0075,-0.0076,-0.0078,-0.0001,-0.0015,0.0099,-0.0084,0.014,0.3342,-0.0129,0.0386,-0.0031,-0.019,0.6685,0.0196,0.0071,2665.148,-0.0019,0.0074,2.8872,-0.5273,45.004,-0.1707,-0.0087,-0.0176,2222.2469,-0.0016,0.0083,-0.4395,-0.0045,1.3834,-0.0051,-30.874,-0.0186,0.1071,1.8835,2353553.7574,92839393.3622,4042.5773,-0.0096,-58.0541,-0.0291,-0.0265,0.5328,-0.0079,0.242,-0.0007,2348846.9743,-6.3518,-0.0,0.5282,0.0002,0.0,2
1,-1.2942,0.1285,0.4567,-0.0754,-0.0801,0.0586,-0.078,-0.1248,-0.0344,0.0388,0.0388,0.004,0.0143,-0.0373,0.0227,-0.0773,-0.385,0.1355,-0.3919,0.0512,0.1445,-0.77,-0.2925,-0.0389,-381.9018,0.0017,-0.016,-0.7853,18.4488,-1.9955,22.7685,0.0546,0.0166,-333.4286,-0.0164,-0.0767,12.2928,-0.0148,-0.3749,-0.0369,14.0904,0.0845,-0.4321,-0.1821,1029538.3808,-242010.4806,1317796.4053,-0.0785,-7.6677,-0.003,-0.003,-0.1091,-0.049,-0.2043,-0.0029,1023897.4447,3.0243,-0.0,-0.6737,-0.0037,0.0004,4
2,-1.1824,0.9794,0.2191,0.089,-0.0985,0.0745,-0.0564,-0.058,-0.0308,0.0219,0.024,0.0019,0.0067,-0.0234,0.0489,-0.026,-0.2943,0.0103,-0.1059,0.0519,0.0066,-0.5885,-0.0185,-0.0024,65.544,0.0092,-0.0184,-1.1543,1.0043,-2.3508,1.4471,0.0711,0.104,57.4903,-0.0445,-0.0456,0.5126,-0.0324,-0.9867,0.0166,2.9784,0.059,-0.3264,-0.6068,13659.7851,12034.9472,13409.0023,-0.0277,0.1032,0.0023,0.0061,-0.3083,-0.0191,-0.0739,-0.0115,12981.956,19.0524,-0.0018,-0.5054,-0.0001,-0.012,5
3,-2.6959,-1.1556,0.1197,-0.2463,-0.0599,-0.047,-0.0494,-0.1136,-0.0381,0.0232,0.0237,-0.0004,0.0035,0.0183,-0.0777,-0.0421,-0.3262,0.1014,-0.3846,-0.0487,0.0862,-0.6524,-0.3116,-0.0766,-221.6088,0.0605,-0.0926,-2.2705,5.9486,27.7,0.7632,0.013,-0.0077,-458.1225,-0.0349,-0.0378,3.1089,-0.0387,-1.7817,0.0048,-12.9583,0.0345,-0.1136,-1.8561,237443.0502,1621390.8895,29576.4614,0.0395,-20.5698,-0.0211,-0.0222,-1.6015,0.024,-0.1092,-0.0028,229512.5073,4.4102,0.0003,-1.3177,-0.0005,0.0007,7
4,-1.4713,-3.8056,-0.0391,-0.4154,-0.0732,-0.0333,-0.0513,-0.0793,-0.0332,0.0223,0.0235,-0.0005,0.0024,0.0112,-0.0472,-0.0346,-0.1927,0.0616,-0.3442,-0.0304,0.0693,-0.3854,-0.2581,-0.1221,-46.4895,0.0339,-0.1298,-1.7103,3.1337,22.2725,0.4018,0.0147,-0.0147,-1431.3493,-0.0329,-0.0387,1.7353,-0.0353,-1.5366,0.0065,-5.0763,0.0491,-0.3574,-2.3859,934730.4772,8288808.7354,113125.5214,0.0395,-44.7885,-0.0329,-0.0332,-1.8312,0.013,-0.0513,-0.0016,927842.8396,34.602,0.0,-1.4932,-0.0014,-0.0003,8
5,-0.721,0.7485,-0.1989,-0.0055,-0.042,0.0429,-0.0344,-0.0742,-0.0261,0.0161,0.0164,0.0006,0.0039,-0.037,0.0315,-0.0291,-0.1086,0.0328,-0.1267,0.0466,0.0308,-0.2172,-0.0833,-0.0119,-29.2219,0.0118,-0.0278,-0.9511,4.3898,37.7044,0.5435,0.0121,0.0739,-83.8276,-0.0263,-0.0274,2.0656,-0.0302,-0.9711,0.0054,-1.2417,0.0283,-0.1827,-1.1802,101510.9465,1085608.4479,10814.6045,0.0389,-4.3386,-0.0169,-0.0173,-1.0001,0.0204,-0.0853,-0.0019,97142.7354,-0.8142,0.0002,-0.7433,-0.0005,-0.0006,10
6,0.9292,0.6279,-0.0617,0.0671,0.0129,0.0305,0.0059,0.0116,0.0065,-0.0018,-0.0022,0.0001,0.0003,-0.0189,0.0312,-0.0001,0.1287,-0.0098,0.0724,0.0267,-0.0048,0.2575,0.0579,0.02,34.3099,-0.0169,0.0458,1.039,0.5838,13.599,-0.0021,-0.0139,0.0644,68.7368,0.0043,0.0004,0.3246,0.0011,0.7231,-0.0112,-0.9651,-0.0164,0.1184,0.0365,30237.673,383658.9322,2749.0407,0.0025,-1.1269,-0.0204,-0.0192,-0.4659,0.0079,0.116,-0.0016,29189.9329,0.8191,-0.0002,0.254,0.0004,-0.0009,11
7,-0.9824,0.262,-0.0287,0.0387,-0.0086,0.049,-0.0083,-0.032,-0.0081,0.0041,0.0042,-0.0018,-0.0009,-0.0319,0.0402,-0.0083,-0.1754,-0.0009,-0.0116,0.0427,-0.0065,-0.3509,-0.0017,0.0075,-1.799,0.0132,-0.012,-0.9355,2.0682,-5.7412,1.2071,0.0318,0.0266,-17.1836,-0.0118,-0.0056,0.5621,-0.0228,-0.5856,0.0063,-3.8312,0.0283,-0.0953,-1.141,110951.8443,491843.1334,35376.3491,0.0302,-4.53,-0.0361,-0.0514,-1.023,-0.0025,0.0077,-0.0024,97774.9209,160.2521,0.0009,-0.2847,0.0028,-0.0007,12
8,-1.1309,0.1693,-0.1037,-0.0421,-0.0438,0.0297,-0.04,-0.1038,-0.0293,0.0193,0.0196,-0.0002,0.0051,-0.018,0.0071,-0.0367,-0.2718,0.0605,-0.2012,0.0176,0.0422,-0.5436,-0.1508,-0.0215,-7.7932,0.0604,-0.0467,-1.1519,3.3195,-6.368,1.7491,0.0704,0.0108,-33.8828,-0.028,-0.0269,0.6831,-0.0487,-0.7298,0.0244,-1.5895,0.0585,-0.1123,-0.7602,49744.3825,66812.7052,19096.2413,0.1031,-1.6922,-0.0172,-0.0282,-0.4715,0.0391,-0.1688,-0.0023,38386.7552,3.7924,0.0113,-0.3178,0.0005,0.0086,13
9,-2.0989,1.2507,0.3998,0.2616,0.004,0.106,0.0169,0.018,-0.0022,-0.0098,-0.0097,-0.0072,-0.0116,-0.0302,0.0873,0.0215,-0.5745,-0.0592,0.1463,0.0633,-0.0708,-1.149,0.1354,0.0664,36.2016,0.0,-0.0064,-2.2742,-0.8947,-25.7185,4.2604,0.1767,-0.0329,54.5365,0.0071,0.0134,-0.4961,0.006,-1.5176,0.0479,-0.8263,0.1031,-0.7165,-1.0058,14191.564,-76817.4567,34555.3142,-0.1271,-4.4704,-0.0338,-0.0459,-0.6884,-0.099,-0.1948,-0.0079,12027.7116,41.803,-0.0006,-0.8835,0.012,-0.0103,14
10,-1.9245,-0.5554,-0.3097,0.0753,-0.0439,0.0595,-0.0129,-0.051,-0.0361,0.0018,0.0034,-0.0046,-0.0068,-0.0228,0.0575,0.0093,-0.488,-0.0332,-0.003,0.0459,-0.0793,-0.976,0.0345,0.0078,61.1283,0.0304,-0.0848,-2.2658,0.2626,-11.4531,2.2726,0.1412,-0.0469,23.8555,-0.0195,-0.0063,0.0676,-0.0173,-1.7569,0.0545,1.6608,0.1402,-0.7055,-1.3709,21392.9225,8078.4468,22147.8669,-0.0626,-3.6427,0.0016,-0.0017,-0.6515,-0.0498,-0.4506,-0.0094,19056.5004,25.7162,-0.0004,-1.1038,0.0063,-0.0109,15
11,-2.8179,-2.3792,0.472,-0.0493,-0.0792,0.0659,-0.0537,-0.1035,-0.0468,0.0232,0.0243,0.0008,0.005,-0.0494,0.068,-0.0369,-0.3193,0.024,-0.1279,0.0542,0.0234,-0.6386,-0.0572,-0.0321,-153.7766,0.0171,-0.1091,-2.6227,6.8163,50.8362,0.7439,0.0111,0.1188,-440.8317,-0.0353,-0.0401,3.9496,-0.0369,-2.0541,0.0036,-13.2459,0.0499,-0.3298,-1.9586,432501.2777,4857621.4825,40493.4743,0.0217,-27.6912,-0.0187,-0.0224,-1.631,0.009,-0.1312,-0.0042,426072.025,6.2898,0.0001,-1.5239,-0.001,-0.0008,16
12,-1.1171,0.3874,-0.0921,0.0287,-0.0559,0.0541,-0.034,-0.0736,-0.0352,0.0138,0.0148,0.001,0.0037,-0.0235,0.0398,-0.0186,-0.1617,0.0231,-0.1118,0.0461,0.0131,-0.3234,-0.0462,-0.0068,-21.9234,0.018,-0.0325,-1.0143,0.7867,-2.676,0.2044,0.011,0.0118,-62.042,-0.0152,-0.0126,0.3299,-0.0167,-0.7204,0.004,-1.9082,0.0133,-0.0972,-0.8566,8700.4682,-19369.0287,2018.7772,0.0211,-3.7305,-0.0215,-0.0262,-0.8711,0.0025,-0.0284,-0.0016,7719.8672,0.5431,0.0002,-0.5568,-0.0006,0.0006,17
13,-1.1304,0.8536,0.1213,0.1031,-0.0106,0.0564,-0.009,-0.0328,-0.0101,0.0043,0.0044,-0.0012,-0.0005,-0.0299,0.0491,-0.0079,-0.1869,0.0013,-0.0048,0.0522,-0.0026,-0.3738,0.0103,0.0231,-28.6099,0.0091,-0.0027,-1.0841,-0.14,-12.906,0.2655,0.0169,-0.0284,-18.9996,-0.002,0.0069,-0.2536,-0.0072,-0.6142,0.0045,-2.4797,-0.0076,-0.0167,-0.3874,2001.7532,-42200.6107,2231.9301,0.0227,-1.7824,-0.0075,-0.0345,-0.5345,0.0078,-0.1725,-0.0027,-862.3883,1.3991,0.0021,-0.405,0.0024,0.0015,18
