,sum,id,name,pos
43,4,GLSZM,glszm_HighGrayLevelZoneEmphasis,0
51,5,GLSZM,glszm_SmallAreaHighGrayLevelEmphasis,1
57,7,NGTDM,ngtdm_Coarseness,2
53,8,GLSZM,glszm_ZoneEntropy,3
52,8,GLSZM,glszm_SmallAreaLowGrayLevelEmphasis,4
50,8,GLSZM,glszm_SmallAreaEmphasis,5
49,8,GLSZM,glszm_SizeZoneNonUniformityNormalized,6
2,9,GLCM,glcm_ClusterShade,7
47,9,GLSZM,glszm_LowGrayLevelZoneEmphasis,8
48,10,GLSZM,glszm_SizeZoneNonUniformity,9
39,10,GLRLM,glrlm_ShortRunLowGrayLevelEmphasis,10
56,11,NGTDM,ngtdm_Busyness,11
40,12,GLSZM,glszm_GrayLevelNonUniformity,12
41,12,GLSZM,glszm_GrayLevelNonUniformityNormalized,13
60,13,NGTDM,ngtdm_Strength,14
42,13,GLSZM,glszm_GrayLevelVariance,15
31,14,GLRLM,glrlm_LowGrayLevelRunEmphasis,16
24,15,GLRLM,glrlm_GrayLevelNonUniformity,17
27,17,GLRLM,glrlm_HighGrayLevelRunEmphasis,18
21,17,GLCM,glcm_SumAverage,19
0,17,GLCM,glcm_Autocorrelation,20
16,17,GLCM,glcm_JointAverage,21
54,22,GLSZM,glszm_ZonePercentage,22
19,24,GLCM,glcm_MCC,23
46,24,GLSZM,glszm_LargeAreaLowGrayLevelEmphasis,24
45,24,GLSZM,glszm_LargeAreaHighGrayLevelEmphasis,25
5,25,GLCM,glcm_Correlation,26
14,25,GLCM,glcm_Imc2,27
44,29,GLSZM,glszm_LargeAreaEmphasis,28
58,29,NGTDM,ngtdm_Complexity,29
1,29,GLCM,glcm_ClusterProminence,30
38,29,GLRLM,glrlm_ShortRunHighGrayLevelEmphasis,31
11,32,GLCM,glcm_Idmn,32
29,35,GLRLM,glrlm_LongRunHighGrayLevelEmphasis,33
3,36,GLCM,glcm_ClusterTendency,34
55,36,GLSZM,glszm_ZoneVariance,35
30,36,GLRLM,glrlm_LongRunLowGrayLevelEmphasis,36
59,36,NGTDM,ngtdm_Contrast,37
26,36,GLRLM,glrlm_GrayLevelVariance,38
25,37,GLRLM,glrlm_GrayLevelNonUniformityNormalized,39
13,39,GLCM,glcm_Imc1,40
23,41,GLCM,glcm_SumSquares,41
22,41,GLCM,glcm_SumEntropy,42
17,42,GLCM,glcm_JointEnergy,43
7,43,GLCM,glcm_DifferenceEntropy,44
20,43,GLCM,glcm_MaximumProbability,45
18,45,GLCM,glcm_JointEntropy,46
8,45,GLCM,glcm_DifferenceVariance,47
33,46,GLRLM,glrlm_RunLengthNonUniformity,48
32,48,GLRLM,glrlm_RunEntropy,49
4,50,GLCM,glcm_Contrast,50
15,50,GLCM,glcm_InverseVariance,51
10,52,GLCM,glcm_Idm,52
9,52,GLCM,glcm_Id,53
6,53,GLCM,glcm_DifferenceAverage,54
28,55,GLRLM,glrlm_LongRunEmphasis,55
36,57,GLRLM,glrlm_RunVariance,56
12,58,GLCM,glcm_Idn,57
37,62,GLRLM,glrlm_ShortRunEmphasis,58
34,63,GLRLM,glrlm_RunLengthNonUniformityNormalized,59
35,63,GLRLM,glrlm_RunPercentage,60
