,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,regioes_id
0,0.0836,0.7831,0.7247,0.9567,0.1213,0.3025,0.0899,0.1422,0.172,0.081,0.0837,0.9622,0.1461,0.1695,0.2975,0.0698,0.0558,0.3492,0.5563,0.6499,0.3549,0.0558,0.7416,0.8829,0.0009,0.9133,0.793,0.0804,0.1197,0.7726,0.0243,0.0166,0.4669,0.0301,0.7379,0.161,0.0854,0.4521,0.2032,0.0079,0.2314,0.5172,0.3638,0.2749,0.2906,0.0089,0.6373,0.1342,0.4108,0.0004,0.0005,0.6776,0.0542,0.0193,0.5294,0.2895,0.7944,0.0054,0.2712,0.8284,0.8665,2
1,0.0,0.608,0.029,0.1733,0.002,0.0004,0.0004,0.0007,0.0057,0.0003,0.0003,0.0,0.0,0.0,0.107,0.0001,0.0,0.0001,0.0003,0.0008,0.0002,0.0,0.0003,0.0537,0.1656,0.4636,0.4711,0.0098,0.0001,0.3628,0.0,0.0044,0.0212,0.62,0.0123,0.0001,0.0001,0.0143,0.0469,0.0309,0.0449,0.0721,0.0003,0.3442,0.0006,0.0638,0.0002,0.0001,0.9315,0.9,0.9494,0.3098,0.0001,0.1764,0.0001,0.0006,0.0375,0.0229,0.2669,0.0002,0.768,4
2,0.0,0.639,0.0013,0.8401,0.0151,0.0,0.0061,0.0394,0.0564,0.0033,0.0042,0.0235,0.0013,0.0,0.0001,0.0011,0.0,0.1593,0.1144,0.0,0.0736,0.0,0.4888,0.4506,0.0,0.5562,0.8846,0.0002,0.0,0.5658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0017,0.0,0.0032,0.0006,0.6514,0.0,0.0,0.0001,0.0728,0.0051,0.0221,0.0035,0.73,0.7332,0.4504,0.0,0.0,0.0,0.0007,0.0606,0.7603,0.0012,5
3,0.0721,0.0028,0.3332,0.0011,0.0101,0.0381,0.0167,0.0179,0.0099,0.0201,0.0189,0.9906,0.1653,0.1775,0.0124,0.0267,0.087,0.0151,0.0031,0.0355,0.0165,0.087,0.0031,0.0013,0.0186,0.0052,0.0032,0.0822,0.0962,0.4014,0.1324,0.2283,0.3364,0.0016,0.0787,0.0368,0.1001,0.089,0.0595,0.4033,0.0001,0.3427,0.5998,0.3672,0.1931,0.4894,0.1994,0.0716,0.0001,0.5078,0.4617,0.1739,0.0328,0.8512,0.0026,0.199,0.6071,0.0668,0.025,0.4933,0.8373,7
4,0.237,0.0533,0.6532,0.0281,0.0568,0.1609,0.0858,0.0739,0.0482,0.1067,0.0992,0.2473,0.7585,0.3593,0.0679,0.1681,0.2546,0.1686,0.0271,0.2822,0.4379,0.2546,0.0232,0.0285,0.1199,0.0035,0.0082,0.1641,0.2975,0.6197,0.3311,0.3629,0.2225,0.0521,0.0135,0.1046,0.445,0.009,0.0519,0.6062,0.903,0.0063,0.0319,0.0583,0.0531,0.0497,0.1058,0.1661,0.0016,0.0008,0.0015,0.0099,0.4864,0.8011,0.0182,0.0529,0.1048,0.6549,0.0633,0.3106,0.3083,8
5,0.5761,0.1921,0.1168,0.4908,0.3056,0.0304,0.3536,0.276,0.2476,0.3814,0.3716,0.6304,0.7478,0.0376,0.1289,0.4388,0.4521,0.9078,0.693,0.0167,0.7755,0.4521,0.8595,0.7214,0.9699,0.2675,0.7234,0.4712,0.5731,0.8097,0.3013,0.1497,0.2103,0.1617,0.0669,0.5,0.7327,0.0635,0.3234,0.176,0.0776,0.279,0.1954,0.1294,0.2109,0.3192,0.2174,0.0907,0.0195,0.3543,0.3929,0.0534,0.0973,0.5256,0.0368,0.2015,0.2761,0.3735,0.2876,0.3876,0.8735,10
6,0.2866,0.9283,0.8245,0.9349,0.9637,0.3579,0.8587,0.8636,0.9755,0.8086,0.8296,0.4552,0.5305,0.0172,0.3188,0.7089,0.2549,0.801,0.9479,0.2942,0.6151,0.2549,0.9666,0.9607,0.0156,0.6182,0.551,0.2751,0.38,0.0119,0.4267,0.1516,0.5159,0.0761,0.6127,0.9638,0.2769,0.8096,0.3406,0.141,0.7416,0.6722,0.5345,0.783,0.0306,0.0019,0.4,0.4614,0.2353,0.0912,0.1302,0.6355,0.4604,0.2419,0.2494,0.0248,0.7611,0.1589,0.7238,0.7166,0.6486,11
7,0.188,0.3283,0.7802,0.789,0.2984,0.4502,0.2976,0.2178,0.2394,0.2978,0.298,0.0258,0.5634,0.2984,0.7799,0.2981,0.1214,0.3628,0.3372,0.3386,0.3922,0.1214,0.3734,0.6187,0.1998,0.2978,0.5366,0.2489,0.2661,0.8609,0.1702,0.1056,0.7378,0.1083,0.162,0.4415,0.3336,0.1105,0.1956,0.2355,0.1184,0.1481,0.312,0.2291,0.1323,0.2101,0.125,0.2006,0.0007,0.0653,0.0574,0.0689,0.245,0.3906,0.0141,0.1273,0.2737,0.2523,0.0718,0.0263,0.4334,12
8,0.1999,0.195,0.312,0.1182,0.0306,0.6296,0.0371,0.0425,0.0323,0.0411,0.0396,0.8748,0.2773,0.2571,0.8732,0.0496,0.1473,0.1031,0.0705,0.8291,0.0914,0.1473,0.0926,0.0795,0.0517,0.0295,0.0553,0.2047,0.0826,0.9806,0.5047,0.3251,0.5122,0.0072,0.0217,0.0711,0.1263,0.0167,0.1403,0.2825,0.7852,0.1923,0.1751,0.2058,0.2259,0.8177,0.9695,0.0097,0.3481,0.237,0.9542,0.1587,0.0102,0.0519,0.4912,0.2112,0.1837,0.5323,0.0616,0.9853,0.4906,13
9,0.0,0.1537,0.1881,0.0576,0.9027,0.0,0.7371,0.987,0.5658,0.553,0.6186,0.0362,0.1081,0.0008,0.0,0.2608,0.0,0.0641,0.2462,0.0001,0.0521,0.0,0.1079,0.1942,0.0037,0.9071,0.8483,0.0,0.2218,0.0,0.0067,0.0,0.2784,0.0312,0.9242,0.6934,0.1804,0.9839,0.0,0.0,0.0506,0.1189,0.0004,0.1149,0.012,0.5325,0.0008,0.002,0.0,0.0002,0.0,0.0108,0.0,0.9601,0.0,0.0196,0.0001,0.025,0.3714,0.0151,0.3116,14
