,sum,id,name,pos
49,0,GLSZM,glszm_SizeZoneNonUniformityNormalized,0
40,0,GLSZM,glszm_GrayLevelNonUniformity,1
44,0,GLSZM,glszm_LargeAreaEmphasis,2
45,0,GLSZM,glszm_LargeAreaHighGrayLevelEmphasis,3
46,0,GLSZM,glszm_LargeAreaLowGrayLevelEmphasis,4
57,0,NGTDM,ngtdm_Coarseness,5
55,0,GLSZM,glszm_ZoneVariance,6
53,0,GLSZM,glszm_ZoneEntropy,7
11,0,GLCM,glcm_Idmn,8
48,0,GLSZM,glszm_SizeZoneNonUniformity,9
50,0,GLSZM,glszm_SmallAreaEmphasis,10
51,0,GLSZM,glszm_SmallAreaHighGrayLevelEmphasis,11
43,1,GLSZM,glszm_HighGrayLevelZoneEmphasis,12
47,1,GLSZM,glszm_LowGrayLevelZoneEmphasis,13
59,1,NGTDM,ngtdm_Contrast,14
29,1,GLRLM,glrlm_LongRunHighGrayLevelEmphasis,15
60,1,NGTDM,ngtdm_Strength,16
52,1,GLSZM,glszm_SmallAreaLowGrayLevelEmphasis,17
2,2,GLCM,glcm_ClusterShade,18
41,2,GLSZM,glszm_GrayLevelNonUniformityNormalized,19
24,2,GLRLM,glrlm_GrayLevelNonUniformity,20
12,3,GLCM,glcm_Idn,21
39,3,GLRLM,glrlm_ShortRunLowGrayLevelEmphasis,22
42,3,GLSZM,glszm_GrayLevelVariance,23
20,3,GLCM,glcm_MaximumProbability,24
33,4,GLRLM,glrlm_RunLengthNonUniformity,25
56,4,NGTDM,ngtdm_Busyness,26
54,4,GLSZM,glszm_ZonePercentage,27
26,5,GLRLM,glrlm_GrayLevelVariance,28
31,6,GLRLM,glrlm_LowGrayLevelRunEmphasis,29
1,8,GLCM,glcm_ClusterProminence,30
22,8,GLCM,glcm_SumEntropy,31
25,8,GLRLM,glrlm_GrayLevelNonUniformityNormalized,32
17,8,GLCM,glcm_JointEnergy,33
32,9,GLRLM,glrlm_RunEntropy,34
14,9,GLCM,glcm_Imc2,35
19,10,GLCM,glcm_MCC,36
3,11,GLCM,glcm_ClusterTendency,37
18,12,GLCM,glcm_JointEntropy,38
23,14,GLCM,glcm_SumSquares,39
27,15,GLRLM,glrlm_HighGrayLevelRunEmphasis,40
58,15,NGTDM,ngtdm_Complexity,41
5,16,GLCM,glcm_Correlation,42
30,18,GLRLM,glrlm_LongRunLowGrayLevelEmphasis,43
36,19,GLRLM,glrlm_RunVariance,44
13,20,GLCM,glcm_Imc1,45
38,21,GLRLM,glrlm_ShortRunHighGrayLevelEmphasis,46
0,22,GLCM,glcm_Autocorrelation,47
28,23,GLRLM,glrlm_LongRunEmphasis,48
21,23,GLCM,glcm_SumAverage,49
16,23,GLCM,glcm_JointAverage,50
7,26,GLCM,glcm_DifferenceEntropy,51
15,27,GLCM,glcm_InverseVariance,52
10,27,GLCM,glcm_Idm,53
9,27,GLCM,glcm_Id,54
35,28,GLRLM,glrlm_RunPercentage,55
6,28,GLCM,glcm_DifferenceAverage,56
37,31,GLRLM,glrlm_ShortRunEmphasis,57
34,32,GLRLM,glrlm_RunLengthNonUniformityNormalized,58
8,33,GLCM,glcm_DifferenceVariance,59
4,38,GLCM,glcm_Contrast,60
