,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,regioes_id
0,1.9014,-0.6051,0.0806,-0.0131,0.0112,-0.0101,0.0085,0.015,0.0057,-0.0039,-0.004,-0.0001,-0.0007,0.0098,-0.0089,0.0065,0.1845,-0.0046,0.0174,-0.013,-0.0092,0.3689,0.0046,-0.0005,-79.3578,-0.0,0.0002,1.803,-0.8881,11.0727,-0.1094,-0.0039,-0.0287,374.8351,0.0039,0.0076,-0.6267,0.0033,1.0567,-0.002,-53.1839,-0.0249,0.0993,1.296,-141249.3021,22421472.3049,-77489.266,-0.0014,-14.567,-0.0118,-0.0111,0.5533,-0.0019,0.1482,0.0002,-142825.2542,-28.2437,0.0,0.4975,-0.0,0.0001,2
1,-0.7987,0.0112,0.2135,-0.049,-0.0486,0.0299,-0.0456,-0.0639,-0.017,0.0223,0.0225,0.0009,0.006,-0.0214,0.0193,-0.0427,-0.2233,0.0582,-0.2038,0.0289,0.0589,-0.4467,-0.1441,-0.0244,186.0454,0.0037,-0.0094,-0.6281,7.5663,1.3042,8.7833,0.0437,0.0524,119.5435,-0.0143,-0.0473,5.1287,-0.0125,-0.4039,-0.0068,20.0226,0.021,-0.1957,-0.609,286145.2346,54956.4322,338065.117,-0.0249,12.8361,0.0022,0.0023,-0.3385,-0.014,-0.0536,-0.0012,286260.4715,56.8179,-0.0001,-0.6161,-0.0008,-0.0011,4
2,-0.3359,1.4027,0.1107,0.1416,0.0398,0.0243,0.0038,0.0146,0.0219,0.0029,0.0016,0.0014,0.0034,-0.0026,0.0068,-0.0165,-0.0877,0.0022,0.0322,0.0071,-0.005,-0.1754,0.0307,0.0453,19.3602,-0.0037,0.0407,-0.1943,0.3047,-0.2493,0.3582,0.022,0.0704,38.7523,-0.0152,-0.0164,0.1587,-0.0111,-0.1376,0.0048,1.497,0.0144,-0.0729,0.3321,2748.5122,3673.4516,2253.9397,-0.0156,0.9714,0.004,0.0056,0.3229,-0.0141,0.017,-0.0061,2473.3845,2.9843,-0.003,0.5968,0.0001,-0.0189,5
3,-0.9843,-0.1431,0.0579,-0.0615,-0.0109,-0.0128,-0.0095,-0.0348,-0.0104,0.0045,0.0046,-0.0004,0.0002,0.0053,-0.0269,-0.0084,-0.1431,0.0255,-0.1134,-0.0184,0.0128,-0.2862,-0.0973,-0.0181,-55.8268,0.028,-0.0361,-0.7252,2.1791,-3.8463,0.3874,0.0091,-0.0034,-158.3956,-0.0164,-0.0082,0.9821,-0.0194,-0.5898,0.004,2.3255,0.0582,-0.2012,-1.4178,122665.0974,596748.4466,17714.3449,0.0267,-6.2766,-0.0066,-0.0079,-0.9651,0.0151,-0.1753,-0.0007,118643.7425,3.3017,0.0001,-0.231,0.0001,0.0005,7
4,-0.9248,-0.2086,-0.137,-0.1253,-0.0075,-0.0233,-0.0131,-0.02,-0.003,0.0073,0.0071,-0.0005,0.0005,0.0093,-0.0309,-0.0162,-0.1283,0.0338,-0.1344,-0.0233,0.0361,-0.2566,-0.1168,-0.0332,-133.8473,0.0111,-0.0259,-1.0333,1.9319,10.9523,0.2612,0.0126,-0.0082,-321.0173,-0.0074,-0.0143,1.1975,-0.0085,-0.6873,0.0074,-0.8168,0.0194,-0.1347,-1.3461,429248.8937,2930999.9481,53302.5542,0.0302,-12.8704,-0.0166,-0.0176,-0.9901,0.0121,-0.0085,-0.0003,425949.264,12.7157,0.0,-0.4767,-0.0002,-0.0002,8
5,-0.1863,0.1806,-0.0683,-0.006,-0.0114,0.0109,-0.0144,-0.0282,-0.0058,0.0076,0.0075,0.0004,0.0025,-0.0136,0.0061,-0.0163,-0.0329,0.0275,-0.0604,0.0155,0.027,-0.0657,-0.0487,-0.0043,-27.3746,-0.0007,0.0111,-0.3279,2.6412,25.2798,0.2892,0.0054,0.0394,-17.2392,-0.0068,-0.0136,1.3487,-0.0086,-0.2947,0.0029,1.339,0.0126,0.003,-0.0868,24646.759,191912.8063,3036.2479,0.0085,0.4787,-0.0085,-0.008,-0.0924,0.0016,-0.0037,0.0004,24408.7897,-1.3158,0.0001,-0.1448,-0.0004,0.0002,10
6,1.425,0.9702,-0.1078,0.0738,0.0221,0.0106,0.0112,0.0183,0.0101,-0.0039,-0.0045,0.0008,0.001,-0.0079,0.014,0.0025,0.2,-0.0037,0.07,0.0165,0.0004,0.4,0.0469,0.024,-6.6857,-0.0139,0.0481,1.4796,0.0277,8.0043,-0.028,-0.0184,0.0193,48.5173,0.0126,0.0085,0.0261,0.0099,1.0972,-0.0125,0.5735,-0.0179,0.1677,1.1611,-37186.4209,-25443.8256,-14983.4056,-0.0187,1.1314,-0.0065,-0.0002,0.4527,-0.0015,0.0859,0.0011,-4481.6387,-4.5709,0.0,0.494,-0.0003,0.0023,11
7,-0.2501,-0.2484,0.0386,0.0313,0.0027,0.0205,0.0028,-0.0059,-0.001,-0.0014,-0.0014,0.0002,-0.0,-0.0137,0.0187,0.0028,-0.0338,-0.0172,0.0283,0.017,-0.0288,-0.0677,0.0248,0.0085,-0.2391,0.0051,-0.0084,-0.207,0.3921,-7.0598,0.3757,0.0023,-0.0106,7.5441,-0.0004,0.0041,-0.1328,-0.0062,-0.0522,-0.0038,-1.7495,-0.01,-0.0458,-0.549,20922.7757,-55821.2003,10140.0548,0.0061,-1.0951,-0.0207,-0.0303,-0.5008,-0.0117,0.0968,-0.0005,15611.482,14.6116,0.0004,0.0869,0.0007,-0.0012,12
8,0.0884,1.2428,-0.1857,0.0648,0.0017,0.0182,-0.0021,-0.0153,-0.0011,0.0016,0.0014,0.0015,0.0027,-0.0092,0.013,-0.0048,-0.0186,0.0058,-0.001,0.0178,0.0011,-0.0373,-0.0019,0.0166,1.6902,0.0132,0.0045,0.1594,0.6607,-5.0388,0.9404,0.0174,0.0006,3.4296,-0.0031,-0.0013,-0.0226,-0.0103,0.1517,-0.002,-0.6505,0.0176,0.0025,0.5485,10324.7302,-12736.6465,10095.6663,-0.0164,-0.4811,-0.0069,-0.0067,0.4895,-0.0169,0.0111,-0.0008,10279.593,-4.2297,0.0061,0.1973,-0.0015,0.0035,13
9,-1.0594,0.3453,0.2714,0.0183,-0.0521,0.0374,-0.0311,-0.0229,-0.007,0.0124,0.0134,-0.0009,0.0014,-0.011,0.0221,-0.0157,-0.2699,0.012,-0.0849,0.0209,0.0193,-0.5397,-0.0411,-0.0085,32.1793,0.0053,-0.0025,-1.0492,1.1036,-4.7439,2.0396,0.0695,0.0202,31.0227,-0.0155,-0.0243,0.6459,-0.0118,-0.7722,0.0166,2.8339,0.0593,-0.3666,-0.1878,7990.2689,-8802.988,11001.4877,-0.0575,1.5538,0.0178,0.02,0.1568,-0.0347,-0.1647,-0.0021,7728.0444,15.9965,-0.0006,-0.5228,0.0024,-0.0066,14
