,sum,id,name,pos
60,0,NGTDM,ngtdm_Strength,0
43,0,GLSZM,glszm_HighGrayLevelZoneEmphasis,1
47,0,GLSZM,glszm_LowGrayLevelZoneEmphasis,2
48,0,GLSZM,glszm_SizeZoneNonUniformity,3
49,0,GLSZM,glszm_SizeZoneNonUniformityNormalized,4
39,0,GLRLM,glrlm_ShortRunLowGrayLevelEmphasis,5
51,0,GLSZM,glszm_SmallAreaHighGrayLevelEmphasis,6
52,0,GLSZM,glszm_SmallAreaLowGrayLevelEmphasis,7
53,0,GLSZM,glszm_ZoneEntropy,8
50,0,GLSZM,glszm_SmallAreaEmphasis,9
40,0,GLSZM,glszm_GrayLevelNonUniformity,10
57,0,NGTDM,ngtdm_Coarseness,11
54,1,GLSZM,glszm_ZonePercentage,12
14,1,GLCM,glcm_Imc2,13
56,2,NGTDM,ngtdm_Busyness,14
59,2,NGTDM,ngtdm_Contrast,15
2,3,GLCM,glcm_ClusterShade,16
46,3,GLSZM,glszm_LargeAreaLowGrayLevelEmphasis,17
19,3,GLCM,glcm_MCC,18
11,3,GLCM,glcm_Idmn,19
1,3,GLCM,glcm_ClusterProminence,20
42,4,GLSZM,glszm_GrayLevelVariance,21
44,4,GLSZM,glszm_LargeAreaEmphasis,22
45,4,GLSZM,glszm_LargeAreaHighGrayLevelEmphasis,23
41,4,GLSZM,glszm_GrayLevelNonUniformityNormalized,24
12,4,GLCM,glcm_Idn,25
24,4,GLRLM,glrlm_GrayLevelNonUniformity,26
26,4,GLRLM,glrlm_GrayLevelVariance,27
29,4,GLRLM,glrlm_LongRunHighGrayLevelEmphasis,28
25,5,GLRLM,glrlm_GrayLevelNonUniformityNormalized,29
27,6,GLRLM,glrlm_HighGrayLevelRunEmphasis,30
22,6,GLCM,glcm_SumEntropy,31
33,6,GLRLM,glrlm_RunLengthNonUniformity,32
13,6,GLCM,glcm_Imc1,33
3,6,GLCM,glcm_ClusterTendency,34
55,6,GLSZM,glszm_ZoneVariance,35
5,7,GLCM,glcm_Correlation,36
17,7,GLCM,glcm_JointEnergy,37
23,8,GLCM,glcm_SumSquares,38
18,8,GLCM,glcm_JointEntropy,39
58,10,NGTDM,ngtdm_Complexity,40
0,10,GLCM,glcm_Autocorrelation,41
16,10,GLCM,glcm_JointAverage,42
38,10,GLRLM,glrlm_ShortRunHighGrayLevelEmphasis,43
21,10,GLCM,glcm_SumAverage,44
20,10,GLCM,glcm_MaximumProbability,45
32,11,GLRLM,glrlm_RunEntropy,46
31,11,GLRLM,glrlm_LowGrayLevelRunEmphasis,47
36,19,GLRLM,glrlm_RunVariance,48
15,19,GLCM,glcm_InverseVariance,49
28,20,GLRLM,glrlm_LongRunEmphasis,50
37,22,GLRLM,glrlm_ShortRunEmphasis,51
35,23,GLRLM,glrlm_RunPercentage,52
8,23,GLCM,glcm_DifferenceVariance,53
7,23,GLCM,glcm_DifferenceEntropy,54
34,23,GLRLM,glrlm_RunLengthNonUniformityNormalized,55
6,24,GLCM,glcm_DifferenceAverage,56
10,25,GLCM,glcm_Idm,57
9,25,GLCM,glcm_Id,58
4,25,GLCM,glcm_Contrast,59
30,26,GLRLM,glrlm_LongRunLowGrayLevelEmphasis,60
