,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,regioes_id
0,1.3226,-0.1225,-0.0397,0.014,0.0033,0.0049,0.0025,0.0008,0.0005,-0.0011,-0.0012,-0.0001,-0.0005,-0.0036,0.0031,0.0019,0.13,-0.0028,0.009,0.002,-0.0062,0.2599,0.006,0.0043,276.7239,-0.0028,0.0014,1.1334,0.9424,38.7293,0.0112,-0.0024,0.0038,444.934,-0.0,-0.0007,0.7024,-0.0005,0.5856,-0.0014,-72.9482,-0.0274,0.0608,0.9564,1419269.367,46554790.1327,35001.0026,-0.0023,-33.0691,-0.0124,-0.0115,0.32,-0.0023,0.1388,-0.0004,1414610.6461,-0.6761,-0.0,0.0603,0.0002,-0.0,2
1,-0.5,-0.0887,0.2237,-0.0105,-0.0189,0.0197,-0.0237,-0.0334,-0.005,0.0126,0.0123,0.0008,0.0042,-0.0105,0.0062,-0.0278,-0.1502,0.0513,-0.1321,0.0181,0.0596,-0.3004,-0.1033,-0.0073,-642.7793,-0.003,-0.0005,-0.2178,5.3156,-5.7191,7.6571,0.0152,-0.0397,-414.1492,0.0007,-0.0201,3.5642,0.0008,-0.0291,-0.0196,1.3452,0.0445,-0.1824,0.2081,-63417.5993,-926460.8422,133887.8545,-0.0354,-8.1041,-0.0037,-0.0034,0.1439,-0.0235,-0.1195,-0.0,-62270.3088,-55.4086,0.0,-0.3114,-0.0004,0.0002,4
2,0.1442,0.5865,-0.123,0.0715,0.0169,0.005,0.0063,-0.0003,0.004,-0.0019,-0.0021,-0.0007,-0.0009,-0.0021,0.0067,0.0011,0.0213,-0.0056,0.0167,0.0029,-0.0228,0.0425,0.0129,0.0221,-70.5578,0.0146,-0.0234,0.0904,-0.5546,-2.0153,-0.1626,-0.0055,-0.1016,-92.8364,0.014,0.0223,-0.3226,0.0091,0.117,-0.0054,-2.6262,0.0031,-0.1086,-0.3731,-10882.1608,-41932.4957,-4356.2981,-0.0092,-2.2761,-0.0182,-0.0299,-0.4222,-0.0174,-0.0224,0.0048,-10365.9341,-6.5282,0.0023,0.1479,0.0005,0.0128,5
3,-0.9899,-0.3134,0.0732,-0.0864,-0.0221,-0.0147,-0.0185,-0.048,-0.0158,0.0087,0.0089,-0.0004,0.0009,0.0054,-0.0288,-0.016,-0.1329,0.0391,-0.1502,-0.0158,0.0287,-0.2657,-0.1225,-0.0271,-80.9342,0.0288,-0.0387,-0.7381,2.8408,8.0174,0.4061,0.0061,0.0199,-211.4251,-0.022,-0.016,1.3521,-0.0247,-0.746,0.002,1.1443,0.0512,-0.145,-1.2016,131758.6885,1002621.617,16417.8643,0.017,-8.5887,-0.0167,-0.0172,-1.0178,0.008,-0.0989,-0.0009,127954.8379,1.4735,0.0001,-0.5242,-0.0001,0.0004,7
4,-0.6154,-1.3017,-0.1037,-0.2047,-0.0318,-0.0192,-0.0266,-0.0392,-0.0136,0.0124,0.0128,-0.0,0.002,0.0059,-0.0265,-0.0219,-0.0872,0.0414,-0.1798,-0.0199,0.0553,-0.1743,-0.1382,-0.0591,-281.8208,0.012,-0.0436,-0.7376,2.163,18.0534,0.2735,0.0092,0.0104,-766.4124,-0.0139,-0.0222,1.3171,-0.0144,-0.638,0.0047,-4.5293,0.0233,-0.1414,-1.0882,470846.5002,4174778.8061,56421.1064,0.0222,-19.4354,-0.0137,-0.0145,-0.8128,0.0084,-0.0394,-0.0007,467936.8441,6.836,0.0,-0.6729,-0.0009,-0.0001,8
5,-0.1734,-0.9512,0.0812,-0.0494,-0.0256,0.0155,-0.0237,-0.0482,-0.015,0.0116,0.0117,0.0008,0.0035,-0.0191,0.0095,-0.0223,-0.0231,0.035,-0.0998,0.014,0.0363,-0.0461,-0.0739,-0.0188,-29.9233,0.0033,-0.0158,-0.2771,3.5959,41.7895,0.3502,0.0033,0.0487,-41.4395,-0.0142,-0.0215,1.8113,-0.0165,-0.4028,0.0006,0.3382,0.0159,-0.0552,-0.1234,62048.4821,776232.9561,5841.9417,0.0054,-1.1148,-0.0105,-0.0105,-0.2295,0.0018,-0.0477,-0.0005,59033.4704,-2.4918,0.0001,-0.3696,-0.0009,-0.0004,10
6,0.2299,0.5759,-0.0384,0.0629,0.0137,0.0205,0.0083,0.0155,0.0067,-0.0033,-0.0036,-0.0004,-0.0009,-0.0075,0.0191,0.0037,0.0161,-0.0147,0.0768,0.0148,-0.0153,0.0322,0.06,0.0192,-8.3268,-0.0128,0.0327,0.3628,0.0018,-2.636,0.1367,0.0033,0.0537,17.8032,0.0,0.0,-0.0445,-0.0009,0.3106,0.0004,-0.4893,-0.0093,0.0665,-0.1373,-2471.9957,-20002.0818,570.9154,0.027,0.0985,-0.0015,-0.0009,-0.2887,0.0229,0.0365,-0.0005,-1411.4893,0.0511,-0.0001,0.1623,0.0007,-0.0016,11
7,-0.0886,-0.0134,-0.0096,0.0482,0.0052,0.0376,0.0043,0.0005,0.001,-0.002,-0.0021,0.0007,0.0004,-0.0222,0.0354,0.0036,-0.0054,-0.0236,0.0539,0.0286,-0.0267,-0.0108,0.0474,0.0133,22.2636,0.0011,-0.0039,-0.1446,0.571,-7.7594,0.465,0.0022,0.0185,20.2082,-0.0011,0.0018,0.0454,-0.006,-0.0468,-0.0029,-1.9269,-0.0001,-0.03,-0.2945,49751.3507,157975.9838,15816.7995,-0.002,-0.9968,-0.0149,-0.0246,-0.2144,-0.0158,0.0648,-0.001,44510.3806,13.2372,0.0001,0.1202,-0.0001,-0.0023,12
8,0.1134,1.5673,-0.2763,0.0687,-0.0001,0.021,-0.0035,-0.0244,-0.0037,0.0022,0.0021,0.0001,0.0015,-0.0089,0.0106,-0.0056,-0.061,0.008,-0.0222,0.0137,-0.0044,-0.1221,-0.0184,0.0172,7.3825,0.0204,-0.0022,0.073,0.9853,-6.61,1.3166,0.0457,-0.0065,5.4953,-0.0044,-0.0034,0.0555,-0.013,0.1367,0.0114,-1.3897,0.0249,0.0169,0.3716,26332.142,90969.9898,18791.5286,0.0103,-1.2068,-0.0311,-0.0273,0.2479,-0.0083,-0.0095,-0.0017,22764.9297,23.587,0.0058,0.253,0.0005,0.0025,13
9,-1.0537,0.3952,0.2423,0.1271,0.0079,0.0448,0.0103,0.0176,0.0061,-0.005,-0.0053,-0.0044,-0.0067,-0.0162,0.0388,0.0077,-0.2804,-0.026,0.0593,0.0274,-0.0309,-0.5607,0.0548,0.0337,-0.0179,-0.0009,-0.0009,-0.9932,-0.0265,-11.7115,2.2939,0.0702,-0.0593,18.5247,0.008,0.0081,0.0326,0.0058,-0.6093,0.0107,1.1658,0.0667,-0.3536,-0.3925,-4468.0591,-68629.0906,9876.4501,-0.0738,-0.3817,0.0053,0.0053,-0.0765,-0.047,-0.1984,-0.0017,-4004.7818,19.0731,-0.0001,-0.6217,0.0072,-0.007,14
