,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,regioes_id
0,0.2193,0.9014,0.6285,0.8587,0.6773,0.659,0.6908,0.9458,0.9121,0.7017,0.6954,0.4718,0.4118,0.6991,0.7809,0.7305,0.2313,0.7879,0.8544,0.8576,0.6549,0.2313,0.8872,0.8357,0.6519,0.7164,0.9529,0.2573,0.2363,0.044,0.8923,0.41,0.8931,0.5158,0.9963,0.899,0.2068,0.9248,0.3359,0.364,0.0201,0.0375,0.1575,0.2505,0.0668,0.0009,0.6048,0.6724,0.2653,0.0098,0.0084,0.5346,0.4987,0.0014,0.2042,0.067,0.9768,0.5559,0.885,0.1891,0.8914,2
1,0.0207,0.9106,0.0917,0.8195,0.3231,0.1103,0.0845,0.1362,0.615,0.0437,0.0562,0.3005,0.0714,0.1409,0.6221,0.0143,0.0078,0.0038,0.0278,0.1246,0.0036,0.0078,0.0153,0.6352,0.007,0.6441,0.9854,0.4497,0.0185,0.2431,0.001,0.3816,0.1818,0.0175,0.9129,0.1054,0.016,0.8951,0.8985,0.041,0.8327,0.0192,0.018,0.6828,0.6979,0.0068,0.3825,0.0134,0.1552,0.5146,0.5427,0.6255,0.0088,0.0408,0.9951,0.7014,0.1377,0.1713,0.3677,0.6994,0.8496,4
2,0.6124,0.4218,0.2007,0.3622,0.7287,0.6815,0.7774,0.9909,0.8274,0.8094,0.8074,0.542,0.7023,0.4758,0.4628,0.8816,0.7167,0.6041,0.8125,0.7438,0.1568,0.7167,0.75,0.4733,0.0011,0.091,0.4611,0.7848,0.0423,0.016,0.4918,0.6718,0.0055,0.0024,0.2367,0.0655,0.032,0.2761,0.6998,0.4683,0.0403,0.8336,0.0601,0.4561,0.0044,0.0003,0.1075,0.3966,0.0241,0.0674,0.0239,0.2007,0.004,0.7321,0.2296,0.0035,0.0188,0.0408,0.6756,0.786,0.0808,5
3,0.3037,0.3318,0.1204,0.0832,0.094,0.3443,0.1061,0.0381,0.037,0.112,0.1101,0.4481,0.5874,0.5947,0.1275,0.1221,0.2342,0.0667,0.0299,0.3188,0.1758,0.2342,0.0286,0.0698,0.1821,0.0036,0.0434,0.4082,0.062,0.7081,0.0211,0.243,0.4942,0.005,0.0008,0.0855,0.1343,0.0005,0.1828,0.5205,0.728,0.0013,0.0065,0.0968,0.0775,0.226,0.0643,0.1377,0.0105,0.0139,0.0121,0.0243,0.2454,0.0474,0.1372,0.0786,0.7266,0.0647,0.132,0.8401,0.693,7
4,0.3809,0.354,0.4185,0.0465,0.1337,0.0799,0.0505,0.0575,0.1554,0.029,0.0353,0.9706,0.1267,0.3851,0.0294,0.0084,0.3135,0.0006,0.0083,0.0654,0.0005,0.3135,0.004,0.0483,0.0618,0.0787,0.1955,0.2815,0.0029,0.024,0.0081,0.0832,0.6586,0.0282,0.0575,0.0168,0.0021,0.0527,0.1643,0.1151,0.3897,0.006,0.1305,0.095,0.0081,0.0273,0.0241,0.0381,0.0364,0.0199,0.0151,0.0346,0.1394,0.3765,0.1262,0.008,0.6148,0.0682,0.1131,0.1193,0.5846,8
5,0.8525,0.492,0.6489,0.4467,0.0868,0.1869,0.0216,0.0199,0.0964,0.0117,0.0142,0.0623,0.0031,0.0205,0.4798,0.0046,0.8272,0.0396,0.0922,0.2405,0.0491,0.8272,0.106,0.3335,0.14,0.6251,0.6179,0.7554,0.0014,0.012,0.0113,0.5191,0.0268,0.1394,0.0151,0.0061,0.0032,0.0108,0.4596,0.827,0.6905,0.1189,0.517,0.847,0.0203,0.006,0.0855,0.7382,0.4265,0.1828,0.2289,0.543,0.8454,0.39,0.3916,0.0182,0.178,0.0254,0.2875,0.0466,0.8583,10
6,0.7051,0.2966,0.676,0.2212,0.4311,0.0628,0.527,0.4901,0.4343,0.5844,0.5595,0.5858,0.6507,0.1077,0.1374,0.7197,0.8632,0.4688,0.259,0.196,0.4751,0.8632,0.2385,0.2589,0.6451,0.1064,0.113,0.5288,0.9978,0.6577,0.4451,0.7882,0.0033,0.5154,0.9988,0.9994,0.8937,0.9052,0.4393,0.9628,0.7212,0.5771,0.4241,0.8302,0.8781,0.8731,0.8445,0.4143,0.9243,0.8954,0.9415,0.4368,0.2452,0.557,0.5447,0.917,0.9831,0.6616,0.4842,0.4072,0.4422,11
7,0.9006,0.9313,0.8417,0.1428,0.6592,0.0123,0.6894,0.9842,0.8875,0.7009,0.6965,0.4497,0.8332,0.0114,0.0374,0.7208,0.9602,0.309,0.3817,0.0551,0.2397,0.9602,0.3427,0.2134,0.2348,0.9101,0.7422,0.8399,0.5964,0.4746,0.2341,0.8806,0.4299,0.3589,0.8626,0.8319,0.9211,0.4956,0.9112,0.6815,0.1368,0.997,0.6065,0.6854,0.0586,0.4089,0.0564,0.9324,0.344,0.1698,0.0618,0.6349,0.1573,0.2836,0.1185,0.0475,0.3838,0.6806,0.581,0.913,0.1904,12
8,0.8939,0.138,0.0993,0.3159,0.9977,0.2347,0.8294,0.4794,0.7385,0.7752,0.7914,0.9641,0.6199,0.251,0.6054,0.7033,0.6389,0.7874,0.8057,0.427,0.8653,0.6389,0.7966,0.4148,0.3948,0.1727,0.9177,0.9313,0.3893,0.5195,0.0111,0.0369,0.8216,0.6972,0.6363,0.7789,0.8865,0.3033,0.791,0.2723,0.0761,0.2575,0.835,0.631,0.0496,0.3285,0.0055,0.7319,0.0267,0.0119,0.1022,0.5822,0.6187,0.9006,0.0347,0.0128,0.1056,0.1867,0.3616,0.7712,0.6621,13
9,0.0,0.5434,0.0407,0.0747,0.8391,0.0,0.6297,0.5502,0.7173,0.5513,0.5585,0.0007,0.0313,0.0,0.0001,0.5218,0.0,0.1628,0.4351,0.0013,0.1227,0.0,0.2733,0.2131,0.9988,0.8994,0.9754,0.0009,0.9719,0.0002,0.0,0.0,0.026,0.2302,0.4336,0.5643,0.9372,0.4981,0.0175,0.2142,0.2182,0.0002,0.0001,0.4645,0.5573,0.0003,0.1425,0.0007,0.7013,0.5926,0.644,0.7961,0.0007,0.0066,0.2627,0.5513,0.0,0.5211,0.0954,0.0001,0.0822,14
