,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,regioes_id
0,0.0001,0.5079,0.7402,0.8158,0.0027,0.0511,0.0025,0.0077,0.007,0.0025,0.0025,0.5672,0.0104,0.0117,0.0659,0.0028,0.0001,0.1838,0.3498,0.1068,0.108,0.0001,0.6647,0.9047,0.0015,0.92,0.7915,0.0001,0.0133,0.418,0.0009,0.0001,0.0645,0.005,0.6005,0.0053,0.009,0.8863,0.001,0.0,0.758,0.2036,0.0011,0.0036,0.3684,0.0,0.1823,0.0644,0.1451,0.0,0.0,0.0968,0.0105,0.0,0.8319,0.3684,0.1436,0.0061,0.0117,0.7111,0.1151,2
1,0.0,0.6089,0.0,0.0207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0205,0.1954,0.2557,0.0,0.0,0.2021,0.0,0.0,0.0,0.2141,0.0,0.0,0.0,0.0,0.0005,0.0058,0.0,0.0023,0.0,0.0381,0.0,0.042,0.0,0.0,0.0027,0.5947,0.63,0.0383,0.0,0.0146,0.0,0.0,0.0001,0.0001,0.0029,0.0,0.1558,4
2,0.0,0.0203,0.0,0.0409,0.0629,0.0,0.0032,0.0731,0.4012,0.0002,0.0006,0.0011,0.0,0.0,0.0,0.0,0.0,0.0513,0.1758,0.0,0.0846,0.0,0.9872,0.4585,0.0,0.2569,0.1255,0.0,0.0,0.3326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0001,0.0,0.8332,0.0,0.0,0.0,0.0018,0.0001,0.0067,0.0008,0.1617,0.0061,0.5547,0.0,0.0,0.0,0.0,0.8494,0.7886,0.0002,5
3,0.002,0.0,0.0097,0.0,0.0001,0.0034,0.0003,0.0,0.0,0.0004,0.0004,0.4535,0.1004,0.0542,0.0001,0.0008,0.0011,0.0001,0.0,0.0008,0.0016,0.0011,0.0,0.0,0.0006,0.0,0.0,0.0048,0.0012,0.4657,0.0004,0.0015,0.2513,0.0,0.0,0.0008,0.003,0.0,0.0008,0.0201,0.0002,0.0118,0.0022,0.0015,0.0001,0.0663,0.0001,0.0,0.0,0.0877,0.0504,0.0001,0.0,0.0004,0.0,0.0001,0.2266,0.0034,0.0005,0.5784,0.4866,7
4,0.0101,0.0181,0.5502,0.0001,0.0067,0.0001,0.0018,0.0015,0.0063,0.0009,0.0012,0.0227,0.4288,0.0075,0.0,0.0003,0.0069,0.0,0.0,0.0003,0.0012,0.0069,0.0,0.0002,0.5096,0.0,0.0002,0.0026,0.0002,0.0533,0.0015,0.0007,0.103,0.0007,0.0001,0.0004,0.0003,0.0,0.0002,0.0018,0.778,0.0,0.0001,0.0001,0.0,0.0001,0.0015,0.0,0.0,0.0,0.0,0.0,0.006,0.662,0.0004,0.0,0.0145,0.5291,0.0014,0.1181,0.0428,8
5,0.4396,0.1638,0.0643,0.5474,0.0564,0.001,0.0172,0.0106,0.0507,0.0106,0.0124,0.4819,0.0157,0.0,0.0376,0.005,0.2808,0.1516,0.1557,0.0001,0.2386,0.2808,0.2237,0.8921,0.1835,0.2772,0.9782,0.2651,0.005,0.2243,0.0031,0.0131,0.0024,0.0229,0.0013,0.0167,0.0142,0.0005,0.1128,0.0217,0.7625,0.0137,0.1906,0.1037,0.0408,0.1056,0.0461,0.0238,0.0272,0.0628,0.0933,0.0309,0.0626,0.4576,0.0799,0.0322,0.8186,0.0013,0.1087,0.9278,0.9537,10
6,0.0002,0.0019,0.0668,0.063,0.1727,0.0521,0.4719,0.488,0.2017,0.6699,0.5884,0.0999,0.2594,0.0,0.0238,0.8935,0.0004,0.9483,0.2895,0.0063,0.5996,0.0004,0.3314,0.0795,0.0602,0.0161,0.0012,0.0001,0.3436,0.0003,0.2855,0.0034,0.0793,0.0001,0.0253,0.3211,0.2367,0.1086,0.0001,0.0023,0.947,0.1273,0.0039,0.0148,0.9086,0.0267,0.3808,0.1833,0.9239,0.0325,0.1748,0.3865,0.4094,0.0167,0.9812,0.0504,0.2347,0.2908,0.007,0.4661,0.0632,11
7,0.1078,0.9471,0.8158,0.5393,0.3659,0.0288,0.3774,0.1026,0.1549,0.3814,0.3808,0.0352,0.5316,0.0058,0.1517,0.3861,0.0697,0.8118,0.5507,0.0294,0.6945,0.0697,0.6294,0.8128,0.1888,0.0835,0.2205,0.158,0.1109,0.6827,0.0155,0.0723,0.9183,0.1616,0.102,0.702,0.4353,0.0114,0.1446,0.5086,0.0031,0.3411,0.0902,0.0581,0.0269,0.3129,0.0076,0.1162,0.0,0.0003,0.0,0.0036,0.8958,0.5374,0.001,0.033,0.2261,0.0687,0.1337,0.0039,0.8599,12
8,0.2167,0.783,0.889,0.3983,0.0231,0.124,0.0186,0.0075,0.0131,0.0178,0.018,0.4991,0.069,0.0203,0.6362,0.0174,0.099,0.0544,0.0466,0.2243,0.0742,0.099,0.0616,0.2149,0.086,0.0011,0.0411,0.2535,0.0179,0.6354,0.0063,0.0617,0.4979,0.0071,0.0063,0.0466,0.1323,0.0009,0.2069,0.364,0.2934,0.03,0.1612,0.4918,0.0559,0.7317,0.0889,0.0339,0.0696,0.5622,0.6496,0.6109,0.1075,0.06,0.1235,0.019,0.2367,0.1331,0.1969,0.4645,0.2614,13
9,0.0,0.0502,0.0001,0.0394,0.1655,0.0,0.2844,0.4283,0.3105,0.4058,0.3548,0.0067,0.2813,0.0,0.0,0.8784,0.0,0.253,0.9799,0.0,0.3576,0.0,0.4497,0.3882,0.0,0.4115,0.7752,0.0,0.7321,0.0,0.0,0.0,0.0436,0.0,0.1362,0.1985,0.7561,0.198,0.0,0.0,0.3968,0.0,0.0,0.0659,0.0005,0.1912,0.0,0.0,0.0014,0.0364,0.0107,0.0931,0.0,0.0174,0.0,0.0007,0.0,0.0,0.0223,0.0004,0.011,14
