,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,regioes_id
0,-1.6386,0.251,0.0596,-0.0458,-0.0158,-0.0053,-0.0138,-0.0218,-0.0074,0.0065,0.0067,0.0001,0.0012,-0.0013,-0.0066,-0.0119,-0.1784,0.0167,-0.0716,-0.0029,0.0235,-0.3568,-0.0536,-0.0154,-468.8394,0.0091,-0.0152,-1.4239,0.6097,-14.9245,0.1183,0.0047,-0.0028,-939.5951,-0.0021,-0.0084,0.4161,-0.001,-0.7271,0.0026,65.995,0.0253,-0.1233,-0.8981,-431289.687,-32133981.0161,47362.2658,0.0048,50.8459,0.0158,0.0141,-0.2388,0.0041,-0.1832,0.0003,-430303.0667,16.7841,0.0,-0.3424,-0.0003,-0.0,2
1,0.5119,-0.1154,-0.2969,-0.0042,0.0341,-0.0411,0.0354,0.0508,0.0122,-0.018,-0.0178,-0.0019,-0.0068,0.0229,-0.0249,0.037,0.1477,-0.0609,0.1597,-0.0345,-0.0721,0.2955,0.1158,0.0075,196.4773,0.006,-0.0068,0.1392,-7.819,-4.8154,-8.229,-0.0058,-0.0236,116.8869,0.0065,0.0364,-5.3302,0.0057,0.009,0.0252,-0.4816,-0.0143,0.1291,-0.2852,-414128.7343,-155650.5099,-470697.8221,0.0331,2.146,0.0018,0.0021,-0.172,0.0214,0.043,0.0014,-411844.2397,12.9985,0.0,0.3645,0.0013,-0.0001,4
2,0.6287,-1.1668,-0.3004,-0.1068,0.0634,-0.0596,0.0394,0.0324,0.0147,-0.0161,-0.0173,-0.003,-0.0072,0.0175,-0.0396,0.0223,0.1546,-0.0099,0.0608,-0.0413,-0.0106,0.3092,0.0004,-0.0109,-75.6833,0.0035,-0.021,0.4543,-1.1407,-0.4482,-1.1802,-0.0307,-0.1381,-85.6725,0.0379,0.0441,-0.6253,0.027,0.4236,0.0007,-3.3379,-0.0233,0.118,-0.1701,-19588.1698,-35228.5177,-16041.9313,0.0198,-1.6366,-0.0038,-0.0075,-0.0726,0.0092,-0.0038,0.0101,-19065.5899,-13.2151,0.0026,0.0653,0.0011,0.0127,5
3,1.4466,0.4663,-0.0211,0.1217,0.0246,0.0318,0.0204,0.0447,0.0156,-0.0096,-0.0098,0.0004,-0.001,-0.0171,0.0472,0.0177,0.1653,-0.052,0.1842,0.0307,-0.0462,0.3307,0.1535,0.0366,81.7504,-0.0285,0.0423,1.2511,-2.127,-2.5279,-0.3656,-0.0053,0.0142,191.8329,0.0152,0.0154,-1.0832,0.0169,0.9269,-0.0015,2.7598,-0.0308,0.0572,1.0797,-109444.7861,-518922.6678,-20327.9828,-0.0173,9.9477,0.0192,0.0189,0.9866,-0.0082,0.0226,0.0009,-106360.7669,-1.487,-0.0001,0.7364,0.0002,0.0005,7
4,-0.4165,1.0268,0.2026,0.1636,0.0164,0.0179,0.013,0.0175,0.0063,-0.006,-0.0062,0.0002,-0.0007,-0.0085,0.023,0.0103,-0.0417,-0.0211,0.1119,0.0166,-0.0309,-0.0834,0.0894,0.045,131.6694,-0.0088,0.0357,-0.2646,-0.7322,-11.0032,-0.0825,-0.0006,0.0126,556.0357,0.009,0.0105,-0.4082,0.0099,0.0305,0.0004,1.6331,-0.0228,0.1064,0.3779,-312936.9678,-4134061.2874,-37486.1925,-0.0096,22.3199,0.0185,0.0186,0.4841,-0.0019,-0.0004,0.0006,-309432.1468,-1.7901,-0.0,0.3236,0.0007,-0.0001,8
5,-0.2056,0.9833,-0.1312,0.0426,0.018,-0.0076,0.0145,0.0303,0.0112,-0.0068,-0.0069,-0.0006,-0.0023,0.0095,-0.0051,0.0129,-0.0216,-0.0241,0.0586,-0.0075,-0.028,-0.0432,0.042,0.0152,37.7561,0.0025,-0.0036,-0.1513,-2.1371,-28.9762,-0.2128,-0.0005,-0.0337,29.6896,0.0072,0.012,-1.1117,0.0081,0.0489,0.0005,1.0366,-0.0085,0.0434,0.3257,-40244.2558,-566886.2903,-3599.7526,-0.0034,2.7623,0.0167,0.0165,0.3973,-0.0011,-0.0015,0.0009,-38501.1764,2.5589,-0.0001,0.1991,0.0006,-0.001,10
6,-1.276,-1.0948,0.1459,-0.1064,-0.0302,-0.0251,-0.0213,-0.0312,-0.0118,0.0092,0.0097,-0.0004,0.0009,0.0128,-0.0309,-0.0139,-0.1697,0.0257,-0.1246,-0.025,0.0217,-0.3395,-0.0952,-0.0341,-8.2749,0.0178,-0.0477,-1.2717,0.5617,-3.0508,0.1214,0.0133,-0.0231,-58.8292,-0.0139,-0.015,0.2867,-0.0107,-0.9481,0.0092,1.7157,0.0323,-0.1836,-0.457,5023.5596,-99498.4379,1705.878,0.0176,-0.0577,-0.0003,-0.0022,-0.1337,0.0065,-0.1168,0.0006,2838.0771,3.0674,0.0001,-0.5071,-0.0002,-0.0012,11
7,1.5781,0.1607,-0.0403,0.0187,0.0029,0.0062,0.0021,0.0201,0.0052,-0.0009,-0.001,0.0008,0.0011,-0.0013,0.0112,0.0015,0.2376,-0.0104,0.0329,0.0111,-0.0056,0.4751,0.0299,0.0054,7.9237,-0.0149,0.0155,1.5598,-1.1299,23.3636,-0.9232,-0.029,0.0227,9.7743,0.0038,-0.0026,-0.243,0.0114,0.8226,-0.0099,2.7992,-0.008,0.0153,1.3552,-22732.6821,276413.1145,-15498.8999,-0.0346,2.7463,0.0158,0.0214,0.9122,-0.0091,0.0003,0.0013,-21657.5402,-20.7527,-0.0007,0.311,-0.0008,0.0035,12
8,1.3134,0.2433,-0.0255,0.0185,0.009,-0.0134,0.0054,0.0193,0.0065,-0.0021,-0.0023,0.0022,0.0022,0.006,-0.0109,0.0022,0.2465,0.0038,0.0312,-0.0066,0.01,0.493,0.0171,0.0069,2.008,-0.014,0.0238,1.2793,-0.2699,17.1207,-0.7547,-0.0478,0.0234,8.8263,0.0045,0.0008,0.0801,0.0099,0.6697,-0.0193,1.7551,-0.0133,0.038,0.9234,-23229.8275,6353.6176,-12408.9286,-0.0449,1.9002,0.042,0.0478,0.838,-0.0075,0.0021,0.0019,-17601.2997,-18.9041,-0.0011,0.2677,-0.0022,0.0058,13
9,1.0998,-0.6213,-0.2752,-0.143,0.0084,-0.0634,-0.0048,-0.0048,0.0044,0.0039,0.0037,0.0029,0.0049,0.0175,-0.0488,-0.0102,0.2912,0.0278,-0.0613,-0.0398,0.0397,0.5825,-0.0635,-0.0336,-25.8393,0.0013,0.0024,1.0849,-0.0818,10.1284,-2.0523,-0.0788,0.0112,-36.5667,-0.0019,-0.0015,-0.0485,-0.0015,0.721,-0.0183,-0.4873,-0.0557,0.4025,0.2823,-11266.7095,20106.611,-18179.1747,0.0772,1.6129,0.0131,0.0191,0.2871,0.0541,0.1297,0.0046,-8375.8268,-18.775,0.0005,0.5212,-0.0056,0.0064,14
10,0.7587,-0.198,0.0998,-0.0954,0.0108,-0.0391,0.0016,0.0194,0.0141,0.0004,0.0001,0.0017,0.0026,0.0136,-0.0358,-0.0037,0.1983,0.0164,-0.0174,-0.0279,0.0432,0.3965,-0.029,-0.0212,-22.1947,-0.0123,0.0281,0.8036,-0.3539,4.248,-1.1915,-0.0543,0.0199,-6.5994,0.0063,0.0024,-0.1711,0.0064,0.5938,-0.0155,-0.8044,-0.0682,0.3257,0.0867,-12027.962,-5834.6894,-12544.045,0.0369,2.0455,0.0047,0.0078,0.1505,0.0223,0.1888,0.0045,-11126.0561,-9.5273,0.0,0.4414,-0.0031,0.0027,15
11,1.0304,0.8616,-0.1813,-0.0146,0.031,-0.0408,0.0216,0.0401,0.018,-0.0095,-0.0099,-0.0003,-0.0021,0.0291,-0.0458,0.0159,0.1206,-0.0021,0.0207,-0.0348,-0.0035,0.2413,-0.0056,0.0041,95.35,-0.0025,0.0319,0.9664,-2.8179,-27.2129,-0.328,-0.0039,-0.0802,190.9005,0.0157,0.0172,-1.6163,0.0165,0.8203,-0.0008,9.0361,-0.0145,0.0806,0.6414,-191450.0686,-2164571.853,-18929.1347,-0.0076,14.8076,0.0117,0.0136,0.6352,-0.0025,0.0107,0.0022,-188638.5605,-1.6914,-0.0,0.6638,0.0003,0.0001,16
12,0.5812,-1.747,0.2988,-0.1434,-0.0036,-0.0482,-0.0018,0.0084,0.0039,0.0005,0.0007,0.0002,0.0005,0.0174,-0.0431,0.001,0.0759,0.0027,-0.0482,-0.0461,0.0004,0.1518,-0.0515,-0.0367,76.5666,0.0056,-0.0367,0.4977,0.2384,8.4072,-0.0227,-0.0035,0.0068,43.7325,-0.0111,-0.0111,0.1508,-0.0079,0.1273,-0.0021,2.0567,0.0042,0.0357,0.4833,12564.5425,256240.9909,281.3503,-0.0116,2.8202,0.0218,0.0265,0.7887,-0.0009,-0.0649,-0.0011,12439.6948,1.5784,-0.0004,0.27,-0.0013,-0.0036,17
13,0.0437,-0.1327,-0.0474,-0.0561,-0.0109,-0.0236,-0.0072,-0.0092,-0.0046,0.0031,0.0033,0.0013,0.002,0.0126,-0.0257,-0.0044,0.027,0.0121,-0.0547,-0.0247,0.0086,0.0541,-0.0432,-0.0167,38.3163,0.0031,-0.0106,0.0515,1.0332,9.3449,0.0443,-0.007,0.0593,16.0447,-0.0135,-0.021,0.5579,-0.0108,-0.1007,-0.0038,1.482,-0.0034,-0.0627,-0.0545,10080.8908,98292.9858,509.0517,-0.0325,0.9486,-0.0047,0.0183,0.2354,-0.0171,0.1398,-0.0003,11811.1515,1.0683,-0.0018,-0.0026,-0.0019,-0.0119,18
14,1.2427,4.8982,0.5935,0.1807,0.0994,-0.021,0.0423,0.0526,0.0459,-0.0142,-0.0158,0.0018,0.0008,0.0098,-0.0183,0.0133,0.2395,-0.0143,0.0967,-0.0165,-0.0374,0.479,0.0389,0.07,-13.9186,-0.0018,0.0568,1.2951,-0.4986,1.8856,-0.4019,-0.0536,-0.0424,-0.4706,0.0181,0.0229,-0.2698,0.0137,1.0663,-0.0321,0.2508,-0.0279,0.1365,1.8328,-3466.5047,-7989.1993,-635.6231,-0.0472,2.0302,0.0231,0.0254,0.9788,0.0063,0.0422,0.0055,-4014.1631,-3.4012,-0.0001,1.6432,-0.0018,0.0143,24
15,-0.1923,0.3269,-0.03,-0.0112,-0.0202,-0.0027,-0.0168,-0.0355,-0.0114,0.008,0.0081,0.0013,0.0037,0.0025,-0.0141,-0.0148,-0.0523,0.027,-0.0783,-0.0089,0.0207,-0.1047,-0.0592,-0.0079,5.312,0.0178,-0.0116,-0.1982,0.5815,2.6643,0.1066,0.0105,0.0192,-0.9133,-0.0126,-0.0159,0.2016,-0.0141,-0.199,0.0053,0.4404,0.0225,-0.0184,0.0122,722.2664,1359.9649,125.9829,0.0076,0.3104,0.0114,0.0246,0.2928,-0.0087,0.029,0.0004,1256.8666,1.2707,-0.0009,-0.0548,-0.0018,0.0027,26
16,1.6693,3.4549,-0.4612,0.1283,0.0237,0.0116,0.0074,0.0286,0.0205,-0.0016,-0.0021,0.0008,0.0014,-0.0061,0.019,-0.0015,0.1867,-0.0103,0.0705,0.0122,-0.0014,0.3733,0.0533,0.038,11.6784,-0.013,0.063,1.3618,-0.1481,18.6595,-0.1343,-0.0076,0.0427,36.6784,0.0058,-0.0013,0.0187,0.0073,0.8488,-0.0037,1.98,-0.0263,0.1312,1.2277,-12690.2575,-17464.1275,-2297.0024,-0.0196,4.0519,0.0052,0.0089,0.9317,-0.0112,0.1275,0.0025,-11661.8747,-1.8867,-0.0001,0.6277,-0.0005,0.0036,28
17,0.0658,0.8589,-0.1414,0.0566,0.006,0.0079,0.0076,0.0048,0.0001,-0.004,-0.0039,-0.0012,-0.0026,-0.0003,0.003,0.0087,0.0012,-0.0128,0.0345,-0.0028,-0.0176,0.0024,0.0303,0.0156,-12.033,-0.0046,0.004,-0.0127,-0.0564,-0.1261,-0.0018,0.0096,-0.0043,-22.0513,-0.0008,0.0028,-0.0368,-0.0006,-0.0455,0.009,-0.8437,0.0051,-0.0384,-0.1461,104.673,1503.7122,-2.4087,0.0057,-1.0033,-0.0019,-0.0058,-0.0921,-0.0015,-0.0291,0.0001,91.5204,0.0652,0.0006,-0.0021,0.0012,0.0052,31
18,-1.9384,5.1064,-0.4615,0.0254,-0.0181,-0.0014,-0.0169,-0.0283,-0.0085,0.0082,0.0083,-0.0001,0.0009,-0.0056,-0.0042,-0.0153,-0.2191,0.0202,-0.0829,-0.002,0.0232,-0.4382,-0.0612,0.0018,-686.6607,0.0107,-0.0061,-1.7755,1.2579,-6.0611,0.1729,0.0066,0.0052,-1210.4208,-0.0033,-0.0109,0.8808,-0.0025,-0.9278,0.0035,6.3642,0.0123,-0.0511,-0.9783,82059.097,-26465035.1093,90341.9196,0.0086,17.4088,0.0138,0.0123,-0.2878,0.0063,-0.1346,-0.0,81944.9142,40.3071,0.0,-0.6513,0.0,-0.0001,41
19,0.7287,0.5657,-0.222,0.0404,0.0489,-0.0349,0.0409,0.0578,0.0194,-0.0195,-0.0197,-0.0012,-0.0059,0.0205,-0.0184,0.0371,0.1997,-0.0608,0.1868,-0.0324,-0.0703,0.3995,0.1345,0.0223,144.2897,0.0003,0.0148,0.408,-6.6719,-0.3209,-7.8797,-0.0204,-0.0101,103.9207,0.0084,0.0387,-4.5088,0.0068,0.2191,0.0196,0.936,-0.0148,0.1765,0.2607,-224407.7361,229684.4807,-331297.1229,0.0345,4.0071,-0.0008,-0.0004,0.1099,0.0225,0.0503,0.0022,-223875.0478,-23.5394,0.0,0.7724,0.0009,0.0008,43
20,0.5139,-1.1997,-0.2811,-0.1376,0.0104,-0.0475,0.0097,0.0062,0.0014,-0.0049,-0.0048,-0.0017,-0.0033,0.0126,-0.0305,0.0105,0.133,0.0009,-0.0161,-0.0317,0.0029,0.266,-0.0328,-0.0318,-93.8445,0.0109,-0.0418,0.316,-1.0084,-0.4218,-1.0716,-0.0343,-0.1348,-126.0602,0.0279,0.0324,-0.5719,0.0198,0.2697,-0.0054,-5.6741,-0.0425,0.2348,-0.8245,-20952.8665,-39751.6259,-16627.3282,0.0417,-2.1832,0.004,-0.001,-0.4368,0.0257,-0.0508,0.0106,-20076.6332,-13.2598,0.0035,-0.141,-0.0005,0.0218,44
21,1.6326,0.6081,-0.0728,0.118,0.0279,0.0198,0.0236,0.0516,0.0176,-0.0112,-0.0114,0.0001,-0.0017,-0.0088,0.0346,0.0208,0.1859,-0.0497,0.1808,0.0207,-0.0446,0.3718,0.1479,0.0365,108.0085,-0.0297,0.0467,1.449,-2.5474,-5.0059,-0.4589,-0.0075,0.0114,201.7343,0.0152,0.0168,-1.3112,0.0176,1.0462,-0.0026,3.9891,-0.037,0.1314,1.3553,-133818.8616,-234505.2588,-31633.5902,-0.0219,10.087,0.0146,0.0151,1.0305,-0.0096,0.0959,0.0011,-128295.7013,0.2999,-0.0002,0.7501,0.0004,0.0001,46
22,0.0736,2.191,-0.0437,0.1832,0.0275,0.0145,0.0178,0.0246,0.0116,-0.0075,-0.0079,0.0001,-0.001,-0.0042,0.0178,0.0109,0.0084,-0.0157,0.1114,0.0153,-0.017,0.0168,0.0823,0.0527,167.1451,-0.0103,0.0485,0.1304,-0.7275,-10.135,-0.0988,-0.002,0.0021,718.2038,0.0117,0.0124,-0.3756,0.0127,0.3367,-0.0001,2.9547,-0.0197,0.1118,0.6399,-287101.7902,-3389977.7167,-42708.0996,-0.0097,22.2698,0.0168,0.0171,0.5931,-0.0011,0.0213,0.0005,-282438.2074,-5.5772,-0.0,0.507,0.0007,-0.0,47
