,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,regioes_id
0,0.0996,0.7601,0.3597,0.5193,0.0358,0.6086,0.0271,0.0679,0.0811,0.0256,0.0257,0.5963,0.0372,0.8805,0.5424,0.0251,0.0781,0.1123,0.124,0.7844,0.0849,0.0781,0.1739,0.4148,0.4537,0.2108,0.4959,0.1213,0.4369,0.4163,0.1092,0.0826,0.9158,0.1451,0.6089,0.0955,0.4544,0.822,0.1928,0.0775,0.0247,0.0516,0.0033,0.2305,0.5261,0.01,0.4319,0.3545,0.0253,0.0003,0.0003,0.6072,0.2117,0.0,0.2762,0.5262,0.4681,0.2903,0.361,0.0741,0.7408,2
1,0.0117,0.8832,0.0259,0.9283,0.0698,0.0014,0.0095,0.0221,0.2088,0.004,0.0055,0.0273,0.0042,0.0029,0.0508,0.001,0.0061,0.0005,0.0069,0.0058,0.0004,0.0061,0.0056,0.6309,0.4401,0.3587,0.7945,0.6169,0.0005,0.4472,0.0002,0.7357,0.4325,0.5114,0.3422,0.0036,0.0003,0.363,0.9668,0.0079,0.9323,0.3592,0.0992,0.556,0.0512,0.7105,0.0204,0.0271,0.7165,0.7573,0.7091,0.5414,0.0229,0.4288,0.1007,0.0506,0.7442,0.7759,0.2382,0.1749,0.9427,4
2,0.0202,0.1038,0.0053,0.1526,0.1529,0.0,0.068,0.1948,0.3688,0.0368,0.0458,0.0146,0.0059,0.0,0.0001,0.0097,0.0085,0.3663,0.3649,0.0,0.5152,0.0085,0.9924,0.703,0.0058,0.6346,0.4734,0.1431,0.0155,0.6303,0.0104,0.0256,0.0004,0.0124,0.0024,0.0019,0.0192,0.0028,0.1318,0.9234,0.0168,0.1287,0.0549,0.708,0.0342,0.0458,0.05,0.0551,0.1352,0.6835,0.5156,0.8061,0.1395,0.951,0.007,0.0319,0.0035,0.0038,0.8437,0.5331,0.0449,5
3,0.0934,0.1221,0.6396,0.0152,0.0462,0.035,0.056,0.0354,0.0245,0.0601,0.0591,0.4622,0.5299,0.0705,0.0105,0.066,0.1093,0.0106,0.0053,0.0427,0.0274,0.1093,0.0041,0.014,0.1559,0.0036,0.019,0.1121,0.1012,0.8974,0.0882,0.3062,0.5977,0.0065,0.0124,0.0687,0.1548,0.0122,0.0598,0.6056,0.3682,0.0488,0.2606,0.0927,0.0584,0.3777,0.0961,0.135,0.0015,0.0041,0.0053,0.0162,0.229,0.6597,0.1147,0.0588,0.7555,0.097,0.0138,0.5991,0.5145,7
4,0.5601,0.4416,0.1133,0.0863,0.3911,0.0914,0.2832,0.3422,0.467,0.2354,0.2523,0.7257,0.5393,0.1882,0.0494,0.1535,0.6308,0.0316,0.0651,0.1114,0.021,0.6308,0.0363,0.1036,0.3685,0.1806,0.2625,0.7014,0.1907,0.1284,0.3268,0.9003,0.5773,0.0786,0.1741,0.1977,0.2054,0.1466,0.9468,0.8751,0.773,0.0083,0.2514,0.5722,0.0699,0.0166,0.1702,0.4076,0.0088,0.0007,0.0007,0.2113,0.7563,0.9924,0.1591,0.0693,0.9005,0.2732,0.4209,0.1832,0.6202,8
5,0.825,0.4734,0.458,0.501,0.1903,0.476,0.1338,0.1109,0.1712,0.1158,0.1236,0.139,0.0557,0.1832,0.6902,0.0894,0.8381,0.1426,0.2971,0.4874,0.1226,0.8381,0.333,0.4208,0.0787,0.6996,0.9082,0.8632,0.0361,0.0797,0.0978,0.9258,0.1232,0.2663,0.1711,0.1079,0.0485,0.1568,0.9268,0.8642,0.1816,0.3683,0.5744,0.5958,0.0839,0.0267,0.2321,0.8124,0.0301,0.0371,0.0638,0.2844,0.8986,0.9766,0.1003,0.0803,0.177,0.0344,0.5533,0.1585,0.6409,10
6,0.055,0.0856,0.1546,0.0494,0.0943,0.0238,0.1118,0.1482,0.1591,0.1279,0.1204,0.5676,0.6142,0.0046,0.015,0.1792,0.0801,0.1876,0.0651,0.0299,0.3017,0.0801,0.0591,0.055,0.6805,0.0229,0.0253,0.0434,0.3586,0.6211,0.4238,0.2414,0.2011,0.0381,0.0941,0.126,0.3653,0.1662,0.033,0.2241,0.2062,0.0341,0.019,0.4439,0.7559,0.4573,0.5435,0.5609,0.9558,0.9829,0.8606,0.7108,0.7159,0.0621,0.5062,0.837,0.1756,0.3646,0.0424,0.8463,0.6016,11
7,0.0141,0.3159,0.3921,0.57,0.8089,0.6695,0.8536,0.3972,0.4533,0.8674,0.8633,0.4603,0.6324,0.8646,0.5067,0.8857,0.02,0.6716,0.6075,0.44,0.8092,0.02,0.5662,0.6206,0.6504,0.1399,0.1732,0.016,0.3287,0.0405,0.0314,0.0841,0.3585,0.6272,0.5666,0.7698,0.6218,0.2026,0.0245,0.2083,0.032,0.6193,0.7793,0.0443,0.1771,0.1007,0.0175,0.1365,0.0026,0.1581,0.0818,0.0264,0.4299,0.9963,0.0257,0.1478,0.2771,0.0837,0.0953,0.4891,0.0589,12
8,0.0773,0.3486,0.6311,0.6601,0.5771,0.4123,0.7112,0.52,0.4815,0.7691,0.7454,0.1822,0.4791,0.413,0.5593,0.874,0.0331,0.8888,0.6904,0.6822,0.6853,0.0331,0.7827,0.6265,0.8108,0.2753,0.1238,0.0847,0.8031,0.0973,0.0301,0.0137,0.4122,0.461,0.5926,0.9417,0.8314,0.3753,0.1244,0.0629,0.0314,0.5256,0.5895,0.1545,0.0467,0.9424,0.0064,0.1362,0.0002,0.0008,0.0054,0.0119,0.6678,0.9779,0.0218,0.0234,0.0935,0.4107,0.2147,0.2171,0.2438,13
9,0.0,0.3504,0.0221,0.0461,0.8258,0.0,0.823,0.8685,0.7826,0.6494,0.6922,0.0226,0.1262,0.0,0.0,0.4213,0.0,0.1474,0.4289,0.0,0.0638,0.0,0.2166,0.212,0.0436,0.8597,0.9297,0.0004,0.9167,0.0027,0.0001,0.0,0.6691,0.0153,0.8538,0.9175,0.9097,0.8582,0.0055,0.0533,0.6161,0.0023,0.0,0.6094,0.2496,0.3482,0.0398,0.0006,0.0801,0.1844,0.1021,0.3401,0.0001,0.0696,0.0006,0.3049,0.0,0.0058,0.1531,0.0025,0.1189,14
10,0.0011,0.75,0.2739,0.1698,0.7079,0.0001,0.9205,0.389,0.2673,0.9497,0.9912,0.0576,0.2044,0.0001,0.0007,0.6805,0.0002,0.1975,0.7965,0.0018,0.0123,0.0002,0.5015,0.3795,0.1231,0.1195,0.298,0.0064,0.378,0.0035,0.001,0.0005,0.2654,0.7171,0.4613,0.8155,0.4606,0.3511,0.0176,0.0697,0.4462,0.0,0.0,0.8501,0.0582,0.5941,0.0335,0.0052,0.0382,0.5741,0.4225,0.5916,0.004,0.0031,0.0047,0.0561,0.0007,0.928,0.1691,0.0142,0.3534,15
11,0.3963,0.3985,0.2409,0.7863,0.0745,0.0002,0.0859,0.0769,0.0738,0.0976,0.0942,0.3035,0.1391,0.0,0.0002,0.124,0.3243,0.9141,0.7392,0.0004,0.8659,0.3243,0.9043,0.813,0.274,0.6947,0.3614,0.3864,0.1308,0.4389,0.0586,0.2891,0.0062,0.0528,0.0024,0.0867,0.1774,0.0014,0.2273,0.7225,0.0031,0.188,0.2841,0.4131,0.0156,0.0247,0.0341,0.3618,0.0011,0.0284,0.0194,0.1397,0.5989,0.8442,0.0009,0.0153,0.6359,0.3042,0.18,0.3913,0.8653,16
12,0.3814,0.2273,0.1478,0.0903,0.8774,0.0007,0.8915,0.6831,0.7248,0.9311,0.9023,0.812,0.7403,0.0007,0.0029,0.8961,0.3925,0.8301,0.4498,0.0016,0.9785,0.3925,0.2387,0.1572,0.0,0.4507,0.2254,0.4467,0.4066,0.0247,0.6772,0.5794,0.7383,0.0632,0.1074,0.16,0.312,0.196,0.7891,0.6117,0.0292,0.6695,0.6361,0.4577,0.0314,0.0001,0.7497,0.399,0.0068,0.0046,0.0039,0.0484,0.8981,0.178,0.222,0.0245,0.2473,0.0,0.4609,0.1324,0.0649,17
13,0.9481,0.8549,0.6997,0.314,0.4819,0.0958,0.5611,0.6721,0.5617,0.6002,0.5851,0.1873,0.3615,0.0405,0.0926,0.6767,0.7916,0.5666,0.3995,0.0914,0.6985,0.7916,0.3817,0.3272,0.0,0.7135,0.5874,0.9367,0.0522,0.1545,0.7805,0.624,0.0123,0.0423,0.0684,0.0321,0.0236,0.1612,0.8051,0.6668,0.0066,0.8122,0.3688,0.9235,0.0402,0.0062,0.7461,0.2176,0.0197,0.6794,0.2333,0.4951,0.2605,0.0518,0.7888,0.0008,0.4208,0.0026,0.9913,0.0839,0.062,18
14,0.0003,0.0175,0.0077,0.1062,0.0221,0.0765,0.0326,0.0444,0.0155,0.0406,0.0421,0.0324,0.6407,0.0266,0.1581,0.0624,0.0002,0.1691,0.2035,0.1688,0.0132,0.0002,0.4039,0.0657,0.2775,0.8311,0.1558,0.0008,0.0126,0.0521,0.0019,0.0005,0.0734,0.9784,0.0578,0.0156,0.0073,0.0711,0.0016,0.0004,0.7474,0.0642,0.1078,0.0017,0.4788,0.5955,0.8291,0.0055,0.0065,0.0187,0.042,0.0046,0.5135,0.5373,0.001,0.2883,0.1007,0.773,0.0036,0.1369,0.0027,24
15,0.6971,0.7532,0.8443,0.8624,0.3485,0.8731,0.3508,0.3143,0.3182,0.356,0.355,0.4854,0.3538,0.7594,0.4363,0.3664,0.5397,0.3804,0.3722,0.6013,0.4572,0.5397,0.3885,0.7079,0.0826,0.2875,0.6545,0.6722,0.1576,0.504,0.5784,0.5093,0.4465,0.7866,0.2358,0.1877,0.1295,0.252,0.5346,0.5459,0.1496,0.2074,0.7761,0.9781,0.5791,0.8587,0.8132,0.7631,0.1245,0.3963,0.2506,0.2984,0.6104,0.6954,0.8195,0.1753,0.4375,0.8534,0.7522,0.4038,0.8788,26
16,0.1946,0.209,0.1623,0.1862,0.3031,0.2059,0.5724,0.2276,0.1369,0.7686,0.7093,0.0731,0.3056,0.2293,0.0468,0.8649,0.1644,0.5082,0.2914,0.1364,0.9385,0.1644,0.2652,0.1957,0.35,0.0814,0.1553,0.2499,0.7874,0.0777,0.1239,0.2158,0.0361,0.1002,0.3714,0.8727,0.9508,0.2453,0.2798,0.3445,0.0019,0.0177,0.143,0.1445,0.104,0.8633,0.0341,0.2879,0.0006,0.4899,0.3093,0.0513,0.2934,0.0374,0.0128,0.115,0.0701,0.1312,0.2414,0.4748,0.3732,28
