,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,regioes_id
0,0.2837,0.1202,0.0489,0.3167,0.5875,0.5366,0.6494,0.614,0.5624,0.6731,0.6657,0.8655,0.7957,0.6625,0.5592,0.7102,0.3397,0.5813,0.4757,0.2795,0.7151,0.3397,0.4706,0.3208,0.8221,0.3388,0.2384,0.3316,0.4385,0.1332,0.9669,0.8434,0.5376,0.3392,0.4533,0.8413,0.3353,0.407,0.325,0.995,0.1357,0.0752,0.0599,0.1927,0.4613,0.1091,0.7868,0.9927,0.6374,0.5286,0.5609,0.2401,0.9407,0.0604,0.3657,0.4614,0.8315,0.3076,0.5185,0.1916,0.9541,2
1,0.2032,0.2174,0.1809,0.0843,0.2093,0.4151,0.1854,0.173,0.2416,0.1928,0.1884,0.2105,0.1999,0.7346,0.4343,0.2393,0.298,0.1117,0.1114,0.6157,0.1266,0.298,0.1077,0.0908,0.6629,0.4623,0.4275,0.1685,0.2872,0.5296,0.6841,0.249,0.7705,0.8855,0.3792,0.27,0.3003,0.3512,0.1595,0.1726,0.4405,0.8344,0.6631,0.0663,0.2616,0.3358,0.418,0.0277,0.2252,0.0014,0.0009,0.2094,0.0206,0.0307,0.8459,0.2617,0.7905,0.5535,0.5134,0.0728,0.7166,4
2,0.2053,0.1091,0.7933,0.0628,0.275,0.278,0.2102,0.192,0.2599,0.1784,0.1882,0.7001,0.3392,0.2354,0.0648,0.1658,0.24,0.0383,0.1043,0.0911,0.0467,0.24,0.049,0.1098,0.4438,0.3144,0.3499,0.1781,0.225,0.3949,0.686,0.2493,0.6893,0.7517,0.3068,0.2421,0.2414,0.2537,0.1569,0.1595,0.9372,0.8765,0.4467,0.1511,0.1583,0.0878,0.4532,0.0127,0.8692,0.8587,0.6895,0.2138,0.4106,0.9765,0.7216,0.1615,0.7199,0.7821,0.2398,0.2676,0.4583,5
3,0.8331,0.3314,0.2868,0.3209,0.5082,0.3752,0.5709,0.6256,0.5324,0.5889,0.5861,0.4551,0.476,0.4999,0.3741,0.6052,0.8573,0.467,0.4414,0.4335,0.4822,0.8573,0.4294,0.3217,0.3679,0.3882,0.5868,0.9317,0.9137,0.8525,0.7798,0.8658,0.928,0.1995,0.52,0.6768,0.9838,0.4247,0.93,0.6189,0.5963,0.8333,0.8682,0.7939,0.8753,0.6958,0.5876,0.7351,0.4763,0.2825,0.2848,0.9691,0.7149,0.9454,0.6935,0.8838,0.4667,0.2834,0.8514,0.182,0.4979,7
4,0.4613,0.5732,0.2874,0.6562,0.7311,0.4513,0.7079,0.7642,0.7857,0.7031,0.7014,0.2972,0.3441,0.4478,0.4258,0.7151,0.4478,0.7798,0.8513,0.4348,0.8134,0.4478,0.7229,0.7375,0.8552,0.4582,0.503,0.4036,0.5353,0.3482,0.8704,0.2932,0.215,0.9385,0.848,0.6983,0.47,0.9065,0.4382,0.2544,0.8729,0.5503,0.5182,0.3965,0.9013,0.6497,0.6635,0.2701,0.7654,0.9589,0.8869,0.3339,0.4299,0.5345,0.9403,0.8935,0.4394,0.8825,0.7097,0.589,0.6671,8
5,0.0798,0.2067,0.2044,0.2189,0.3186,0.5019,0.4991,0.4485,0.2838,0.6035,0.5768,0.0635,0.2627,0.6954,0.4485,0.7698,0.0717,0.5438,0.3616,0.4284,0.5133,0.0717,0.3598,0.2244,0.6435,0.5045,0.2666,0.0752,0.6311,0.3988,0.1267,0.0458,0.4644,0.7965,0.5745,0.6232,0.6361,0.5728,0.0779,0.0423,0.0223,0.0125,0.0707,0.0443,0.4042,0.416,0.1296,0.0967,0.9728,0.7885,0.7929,0.0513,0.2138,0.1897,0.8948,0.4073,0.0696,0.7831,0.0629,0.2345,0.1022,10
6,0.5763,0.2268,0.1798,0.5874,0.3242,0.1916,0.5074,0.571,0.3927,0.6118,0.5701,0.9014,0.9253,0.4271,0.4978,0.8359,0.6185,0.7575,0.7969,0.2011,0.7973,0.6185,0.9751,0.5059,0.054,0.1946,0.179,0.5908,0.7456,0.8519,0.82,0.9961,0.9786,0.8276,0.2126,0.7278,0.6439,0.2063,0.4551,0.8264,0.6521,0.7319,0.965,0.3998,0.1978,0.1622,0.2846,0.1138,0.4477,0.1308,0.0784,0.7564,0.0535,0.4522,0.4102,0.1931,0.2138,0.4118,0.3663,0.9883,0.3542,11
7,0.6115,0.9753,0.0694,0.9835,0.9112,0.5426,0.9248,0.916,0.97,0.9289,0.9278,0.7634,0.964,0.6708,0.6244,0.9337,0.7007,0.969,0.9953,0.4492,0.8946,0.7007,0.969,0.9649,0.7932,0.5767,0.7357,0.7668,0.7568,0.7218,0.7646,0.5429,0.9837,0.8231,0.8949,0.9201,0.8003,0.8534,0.9023,0.4898,0.1473,0.1482,0.4522,0.8844,0.4235,0.1449,0.761,0.577,0.5363,0.8428,0.61,0.9069,0.7944,0.1762,0.5194,0.3099,0.8945,0.9054,0.7664,0.7645,0.9095,12
8,0.93,0.7527,0.2767,0.969,0.8686,0.8934,0.8306,0.8171,0.8697,0.8208,0.8228,0.8081,0.83,0.9455,0.856,0.8119,0.8512,0.8765,0.829,0.7246,0.9587,0.8512,0.8346,0.9407,0.9361,0.8452,0.8204,0.8103,0.6476,0.9278,0.4089,0.7404,0.921,0.7422,0.7597,0.7364,0.6986,0.7592,0.7195,0.8837,0.5812,0.5666,0.6666,0.9116,0.62,0.4982,0.2592,0.9436,0.6443,0.3781,0.7992,0.5787,0.8749,0.9524,0.8211,0.8646,0.7948,0.8191,0.9717,0.5131,0.4584,13
9,0.2143,0.9879,0.9861,0.9242,0.9851,0.3386,0.9105,0.5538,0.6564,0.8553,0.8773,0.4989,0.819,0.5404,0.7177,0.7294,0.1737,0.6659,0.6146,0.5763,0.9997,0.1737,0.5875,0.9582,0.7636,0.3321,0.5106,0.4141,0.3244,0.9992,0.1429,0.446,0.6206,0.5176,0.7472,0.7611,0.3619,0.6123,0.5149,0.9246,0.7344,0.2669,0.0061,0.6924,0.2632,0.5596,0.28,0.5649,0.3042,0.5611,0.2004,0.5758,0.323,0.8868,0.2335,0.2696,0.4663,0.759,0.5797,0.4198,0.4318,14
