#;Texture (Group);Occurrences;Texture (Group);Occurrences;Texture (Group);Occurrences
1;RP (GLRLM);63 (74,1%);GLN (GLRLM);13 (15,3%);RP (GLRLM);59 (69,4%)
2;RLNN (GLRLM);63 (74,1%);SRE (GLRLM);11 (12,9%);RLNN (GLRLM);58 (68,2%)
3;SRE (GLRLM);62 (72,9%);LRE (GLRLM);11 (12,9%);SRE (GLRLM);58 (68,2%)
4;IDN (GLCM);58 (68,2%);IMC1 (GLCM);10 (11,8%);LRE (GLRLM);55 (64,7%)
5;RV (GLRLM);57 (67.0%);ZV (GLSZM);10 (11,8%);ID (GLCM);55 (64,7%)
6;LRE (GLRLM);55 (64,7%);ZP (GLSZM);10 (11,8%);IDM (GLCM);54 (63,5%)
7;DA (GLCM);53 (62,3%);RV (GLRLM);10 (11,8%);IV (GLCM);52 (61,2%)
8;ID (GLCM);52 (61,1%);RLNN (GLRLM);10 (11,8%);DA (GLCM);52 (61,2%)
9;IDM (GLCM);52 (61,1%);RP (GLRLM);10 (11,8%);DE (GLCM);51 (60%)
10;IV (GLCM);50 (58,8%);IV (GLCM);10 (11,8%);RV (GLCM);51 (60%)
